id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,isShowHPInfo,mmNum,waveType,"render[mode, fx, alpha]",spawnMessageNum,name
31201,frozenterror2,1,1,2,150000,125000,250,10000,1,31201,255 255 255,0,170,2,0,3,10000,1,3002,3014,2 0 200,2972,Frozen_Wrath_Mid_Boss
32000,envy_zavist,0,0,2,150000,125000,325,10000,1,32000,255 255 255,0,172,2,0,3,10000,1,3002,3015,2 0 200,2973,Envy_Zavist
32001,envy_neid,0,0,2,150000,125000,325,10000,1,32001,255 255 255,0,172,2,0,3,10000,1,3002,3016,2 0 200,2974,Envy_Neid
31901,zbsgoliath,1,300,8,175000,150000,200,12500,1,1010,255 200 200,0,172,2,0,2,12500,1,4001,4001,,2963,
1000,zbs_bossL_big00,1,300,2,175000,150000,400,12500,1,1000,255 255 255,0,171,2,0,3,12500,0,4002,4011,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,175000,150000,400,12500,1,1000,255 255 255,0,171,2,0,3,12500,0,4002,4012,2 0 200,2965,Siegetype_Phobos
31002,zbs_bossL_big09,501,310,2,175000,150000,205,12500,1,31002,255 255 255,0,172,2,0,2,12500,0,4002,4013,2 0 200,2971,Mad_Mechanic_Mid_Boss
31201,frozenterror2,1,1,2,175000,150000,250,12500,1,31201,255 255 255,0,170,2,0,3,12500,1,4002,4014,2 0 200,2972,Frozen_Wrath_Mid_Boss
32000,envy_zavist,0,0,2,175000,150000,325,12500,1,32000,255 255 255,0,172,2,0,3,12500,1,4002,4015,2 0 200,2973,Envy_Zavist
32001,envy_neid,0,0,2,175000,150000,325,12500,1,32001,255 255 255,0,172,2,0,3,1500,1,4002,4016,2 0 200,2974,Envy_Neid
31901,zbsgoliath,1,300,8,100000,75000,200,5000,1,1010,255 200 200,0,172,2,0,2,5000,1,-1,1006,,2963,
1000,zbs_bossL_big00,1,300,2,1000000,1000000,400,32000,1,1000,255 255 255,0,171,2,0,3,25000,0,10001,11001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1000000,1000000,400,32000,1,1000,255 255 255,0,171,2,0,3,25000,0,10001,11002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1000000,1000000,250,32000,1,30200,255 255 255,0,170,2,0,3,25000,0,10001,11003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1000000,1000000,225,32000,1,30300,255 255 255,0,170,2,0,3,25000,0,10001,11004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1000000,1000000,225,32000,1,30300,255 255 255,0,170,2,0,3,25000,0,10001,11005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1000000,1000000,250,32000,1,30600,255 255 255,0,170,2,0,3,25000,0,10001,11006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1000000,1000000,250,32000,1,30800,255 255 255,0,170,2,0,3,25000,0,10001,11007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1000000,1000000,275,32000,1,31002,255 255 255,0,172,2,0,3,25000,0,10001,11008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1000000,1000000,250,32000,1,31201,255 255 255,0,170,2,0,3,25000,0,10001,11009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1000000,1000000,300,32000,1,32201,255 255 255,0,170,2,0,3,25000,0,10001,11012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1000000,1000000,500,32000,1,32300,255 255 255,0,172,2,0,3,25000,0,10001,11013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1000000,1000000,500,32000,1,32400,255 255 255,0,172,2,0,3,25000,0,10001,11014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1000000,1000000,500,32000,1,32500,255 255 255,0,172,2,0,3,25000,0,10001,11015,2 0 200,2978,Cronobotics
1000,zbs_bossL_big00,1,300,2,1000000,1000000,400,32000,1,1000,255 255 255,0,171,2,0,3,25000,0,10002,12001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1000000,1000000,400,32000,1,1000,255 255 255,0,171,2,0,3,25000,0,10002,12002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1000000,1000000,200,32000,1,30200,255 255 255,0,170,2,0,3,25000,0,10002,12003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1000000,1000000,220,32000,1,30300,255 255 255,0,170,2,0,3,25000,0,10002,12004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1000000,1000000,220,32000,1,30300,255 255 255,0,170,2,0,3,25000,0,10002,12005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1000000,1000000,250,32000,1,30600,255 255 255,0,170,2,0,3,25000,0,10002,12006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1000000,1000000,250,32000,1,30800,255 255 255,0,170,2,0,3,25000,0,10002,12007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1000000,1000000,205,32000,1,31002,255 255 255,0,172,2,0,3,25000,0,10002,12008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1000000,1000000,250,32000,1,31201,255 255 255,0,170,2,0,3,25000,0,10002,12009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1000000,1000000,300,32000,1,32201,255 255 255,0,170,2,0,3,25000,0,10002,12012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1000000,1000000,500,32000,1,32300,255 255 255,0,172,2,0,3,25000,0,10002,12013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1000000,1000000,500,32000,1,32400,255 255 255,0,172,2,0,3,25000,0,10002,12014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1000000,1000000,500,32000,1,32500,255 255 255,0,172,2,0,3,25000,0,10002,12015,2 0 200,2978,Cronobotics
31901,zbsgoliath,1,300,8,250000,200000,200,7500,1,1010,255 200 200,0,172,2,0,2,7500,1,-1,2005,,2963,
1000,zbs_bossL_big00,1,300,2,1200000,1200000,400,32000,1,1000,255 255 255,0,171,2,0,3,30000,0,20001,21001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1200000,1200000,400,32000,1,1000,255 255 255,0,171,2,0,3,30000,0,20001,21002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1200000,1200000,250,32000,1,30200,255 255 255,0,170,2,0,3,30000,0,20001,21003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1200000,1200000,225,32000,1,30300,255 255 255,0,170,2,0,3,30000,0,20001,21004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1200000,1200000,225,32000,1,30300,255 255 255,0,170,2,0,3,30000,0,20001,21005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1200000,1200000,250,32000,1,30600,255 255 255,0,170,2,0,3,30000,0,20001,21006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1200000,1200000,250,32000,1,30800,255 255 255,0,170,2,0,3,30000,0,20001,21007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1200000,1200000,275,32000,1,31002,255 255 255,0,172,2,0,3,30000,0,20001,21008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1200000,1200000,250,32000,1,31201,255 255 255,0,170,2,0,3,30000,0,20001,21009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1200000,1200000,300,32000,1,32201,255 255 255,0,170,2,0,3,30000,0,20001,21012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1200000,1200000,500,32000,1,32300,255 255 255,0,172,2,0,3,30000,0,20001,21013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1200000,1200000,500,32000,1,32400,255 255 255,0,172,2,0,3,30000,0,20001,21014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1200000,1200000,500,32000,1,32500,255 255 255,0,172,2,0,3,30000,0,20001,21015,2 0 200,2978,Cronobotics
1000,zbs_bossL_big00,1,300,2,1200000,1200000,400,32000,1,1000,255 255 255,0,171,2,0,3,30000,0,20002,22001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1200000,1200000,400,32000,1,1000,255 255 255,0,171,2,0,3,30000,0,20002,22002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1200000,1200000,200,32000,1,30200,255 255 255,0,170,2,0,3,30000,0,20002,22003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1200000,1200000,220,32000,1,30300,255 255 255,0,170,2,0,3,30000,0,20002,22004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1200000,1200000,220,32000,1,30300,255 255 255,0,170,2,0,3,30000,0,20002,22005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1200000,1200000,250,32000,1,30600,255 255 255,0,170,2,0,3,30000,0,20002,22006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1200000,1200000,250,32000,1,30800,255 255 255,0,170,2,0,3,30000,0,20002,22007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1200000,1200000,205,32000,1,31002,255 255 255,0,172,2,0,3,30000,0,20002,22008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1200000,1200000,250,32000,1,31201,255 255 255,0,170,2,0,3,30000,0,20002,22009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1200000,1200000,300,32000,1,32201,255 255 255,0,170,2,0,3,30000,0,20002,22012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1200000,1200000,500,32000,1,32300,255 255 255,0,172,2,0,3,30000,0,20002,22013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1200000,1200000,500,32000,1,32400,255 255 255,0,172,2,0,3,30000,0,20002,22014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1200000,1200000,500,32000,1,32500,255 255 255,0,172,2,0,3,30000,0,20002,22015,2 0 200,2978,Cronobotics
31901,zbsgoliath,1,300,8,300000,250000,200,10000,1,1010,255 200 200,0,172,2,0,2,10000,1,-1,3005,,2963,
1000,zbs_bossL_big00,1,300,2,1500000,1500000,400,32000,1,1000,255 255 255,0,171,2,0,3,35000,0,30001,31001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1500000,1500000,400,32000,1,1000,255 255 255,0,171,2,0,3,35000,0,30001,31002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1500000,1500000,250,32000,1,30200,255 255 255,0,170,2,0,3,35000,0,30001,31003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1500000,1500000,225,32000,1,30300,255 255 255,0,170,2,0,3,35000,0,30001,31004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1500000,1500000,225,32000,1,30300,255 255 255,0,170,2,0,3,35000,0,30001,31005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1500000,1500000,250,32000,1,30600,255 255 255,0,170,2,0,3,35000,0,30001,31006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1500000,1500000,250,32000,1,30800,255 255 255,0,170,2,0,3,35000,0,30001,31007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1500000,1500000,275,32000,1,31002,255 255 255,0,172,2,0,3,35000,0,30001,31008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1500000,1500000,250,32000,1,31201,255 255 255,0,170,2,0,3,35000,0,30001,31009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1500000,1500000,300,32000,1,32201,255 255 255,0,170,2,0,3,35000,0,30001,31012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1500000,1500000,500,32000,1,32300,255 255 255,0,172,2,0,3,35000,0,30001,31013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1500000,1500000,500,32000,1,32400,255 255 255,0,172,2,0,3,35000,0,30001,31014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1500000,1500000,500,32000,1,32500,255 255 255,0,172,2,0,3,35000,0,30001,31015,2 0 200,2978,Cronobotics
1000,zbs_bossL_big00,1,300,2,1500000,1500000,400,32000,1,1000,255 255 255,0,171,2,0,3,35000,0,30002,32001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,1500000,1500000,400,32000,1,1000,255 255 255,0,171,2,0,3,35000,0,30002,32002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,1500000,1500000,200,32000,1,30200,255 255 255,0,170,2,0,3,35000,0,30002,32003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,1500000,1500000,220,32000,1,30300,255 255 255,0,170,2,0,3,35000,0,30002,32004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,1500000,1500000,220,32000,1,30300,255 255 255,0,170,2,0,3,35000,0,30002,32005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,1500000,1500000,250,32000,1,30600,255 255 255,0,170,2,0,3,35000,0,30002,32006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,1500000,1500000,250,32000,1,30800,255 255 255,0,170,2,0,3,35000,0,30002,32007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,1500000,1500000,205,32000,1,31002,255 255 255,0,172,2,0,3,35000,0,30002,32008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,1500000,1500000,250,32000,1,31201,255 255 255,0,170,2,0,3,35000,0,30002,32009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,1500000,1500000,300,32000,1,32201,255 255 255,0,170,2,0,3,35000,0,30002,32012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,1500000,1500000,500,32000,1,32300,255 255 255,0,172,2,0,3,35000,0,30002,32013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,1500000,1500000,500,32000,1,32400,255 255 255,0,172,2,0,3,35000,0,30002,32014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,1500000,1500000,500,32000,1,32500,255 255 255,0,172,2,0,3,35000,0,30002,32015,2 0 200,2978,Cronobotics
31901,zbsgoliath,1,300,8,350000,300000,200,12500,1,1010,255 200 200,0,172,2,0,2,12500,1,-1,4005,,2963,
1000,zbs_bossL_big00,1,300,2,2000000,2000000,400,32000,1,1000,255 255 255,0,171,2,0,3,40000,0,40001,41001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,2000000,2000000,400,32000,1,1000,255 255 255,0,171,2,0,3,40000,0,40001,41002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,2000000,2000000,250,32000,1,30200,255 255 255,0,170,2,0,3,40000,0,40001,41003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,2000000,2000000,225,32000,1,30300,255 255 255,0,170,2,0,3,40000,0,40001,41004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,2000000,2000000,225,32000,1,30300,255 255 255,0,170,2,0,3,40000,0,40001,41005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,2000000,2000000,250,32000,1,30600,255 255 255,0,170,2,0,3,40000,0,40001,41006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,2000000,2000000,250,32000,1,30800,255 255 255,0,170,2,0,3,40000,0,40001,41007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,2000000,2000000,275,32000,1,31002,255 255 255,0,172,2,0,3,40000,0,40001,41008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,2000000,2000000,250,32000,1,31201,255 255 255,0,170,2,0,3,40000,0,40001,41009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,2000000,2000000,300,32000,1,32201,255 255 255,0,170,2,0,3,40000,0,40001,41012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,2000000,2000000,500,32000,1,32300,255 255 255,0,172,2,0,3,40000,0,40001,41013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,2000000,2000000,500,32000,1,32400,255 255 255,0,172,2,0,3,40000,0,40001,41014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,2000000,2000000,500,32000,1,32500,255 255 255,0,172,2,0,3,40000,0,40001,41015,2 0 200,2978,Cronobotics
1000,zbs_bossL_big00,1,300,2,2000000,2000000,400,32000,1,1000,255 255 255,0,171,2,0,3,40000,0,40002,42001,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,2000000,2000000,400,32000,1,1000,255 255 255,0,171,2,0,3,40000,0,40002,42002,2 0 200,2965,Siegetype_Phobos
30200,zbs_bossL_big02,1,300,2,2000000,2000000,200,32000,1,30200,255 255 255,0,170,2,0,3,40000,0,40002,42003,2 0 200,2966,Oberon
30300,zbs_bossL_big03,1,300,2,2000000,2000000,220,32000,1,30300,255 255 255,0,170,2,0,3,40000,0,40002,42004,2 0 200,2967,Dione
30500,zbs_bossL_big04,1,300,2,2000000,2000000,220,32000,1,30300,255 255 255,0,170,2,0,3,40000,0,40002,42005,2 0 200,2968,Dione_Culvert
30600,zbs_bossL_big05,1,300,2,2000000,2000000,250,32000,1,30600,255 255 255,0,170,2,0,3,40000,0,40002,42006,2 0 200,2969,Revenant
30800,zbs_bossL_big07,1,300,2,2000000,2000000,250,32000,1,30800,255 255 255,0,170,2,0,3,40000,0,40002,42007,2 0 200,2970,Fallen_Titan
31002,zbs_bossL_big09,501,310,2,2000000,2000000,205,32000,1,31002,255 255 255,0,172,2,0,3,40000,0,40002,42008,2 0 200,2971,Mad_Mechanic
31201,frozenterror,1,1,2,2000000,2000000,250,32000,1,31201,255 255 255,0,170,2,0,3,40000,0,40002,42009,2 0 200,2972,Frozen_Wrath
32201,infectedrex,1,300,2,2000000,2000000,300,32000,1,32201,255 255 255,0,170,2,0,3,40000,0,40002,42012,2 0 200,2975,Infected_Rex
32300,grasshopper,1,300,2,2000000,2000000,500,32000,1,32300,255 255 255,0,172,2,0,3,40000,0,40002,42013,2 0 200,2976,Grasshopper
32400,zombiejack,1,300,2,2000000,2000000,500,32000,1,32400,255 255 255,0,172,2,0,3,40000,0,40002,42014,2 0 200,2977,Jack
32500,cronobotics53,1,300,2,2000000,2000000,500,32000,1,32500,255 255 255,0,172,2,0,3,40000,0,40002,42015,2 0 200,2978,Cronobotics
31600,bootleg,1,300,2,2500000,2500000,240,32000,2,31600,255 255 255,0,172,2,50,3,64000,0,-1,50001,2 0 225,2979,Bootleg
30700,zbs_bossL_big06,1,300,2,4000000,4000000,220,32000,2,30700,255 255 255,0,172,2,50,3,64000,0,-1,50002,2 0 225,2980,Angra
31901,zbsgoliath,1,300,8,200000,175000,200,16000,1,1010,255 200 200,0,172,2,0,2,15000,1,-1,5001,,2963,
31901,zbsgoliath,1,300,8,200000,175000,200,16000,1,1010,255 200 200,0,172,2,0,2,15000,1,-1,5002,,2963,
31901,zbsgoliath,1,300,8,200000,175000,200,16000,1,1010,255 200 200,0,172,2,0,2,15000,1,-1,5003,,2963, 
31901,zbsgoliath,1,300,8,200000,175000,200,16000,1,1010,255 200 200,0,172,2,0,2,15000,1,-1,5004,,2963,
