waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,,,,,,,
9,97,0,21600,2,21 37,1 1,,,,,,,,
9,98,0,21600,2,4 20,1 1,,,,,,,,
9,9999,0,0,0,9999,1,1027,,,,,,,
9,9999,3,0,0,9999,1,1028,,,,,,,
9,9999,6,0,0,9999,1,1029,,,,,,,
10,101,0,21600,3,4 12,1 1,,,,,,,,
10,102,0,21600,3,5 13,1 1,,,,,,,,
10,103,0,21600,2,29 49,1 1,,,,,,,,
10,104,0,21600,2,49 53,1 1,,,,,,,,
10,105,0,21600,3,4 12,1 1,,,,,,,,
10,106,0,21600,3,5 13,1 1,,,,,,,,
10,107,0,21600,3,21 37,1 1,,,,,,,,
10,1001,0,0,0,32001,1,,,,,,,,
10,9999,0,0,0,9999,1,1030,,,,,,,
10,9999,3,0,0,9999,1,1031,,,,,,,
11,101,0,21600,3,4 12,1 1,,,,,,,,
11,102,0,21600,3,5 13,1 1,,,,,,,,
11,103,0,21600,2,29 49,1 1,,,,,,,,
11,104,0,21600,2,49 53,1 1,,,,,,,,
11,105,0,21600,3,4 12,1 1,,,,,,,,
11,106,0,21600,3,5 13,1 1,,,,,,,,
11,107,0,21600,3,21 37,1 1,,,,,,,,
11,201,0,21600,2,4 12,1 1,,,,,,,,
11,202,0,21600,2,5 13,1 1,,,,,,,,
11,203,0,21600,2,29 49,1 1,,,,,,,,
11,204,0,21600,2,49 53,1 1,,,,,,,,
11,205,0,21600,2,4 12,1 1,,,,,,,,
11,206,0,21600,2,5 13,1 1,,,,,,,,
11,9999,0,0,0,9999,1,1032,,,,,,,
11,9999,3,0,0,9999,1,1033,,,,,,,
11,9999,6,0,0,9999,1,1049,,,,,,,
11,9999,9,0,0,9999,1,1050,,,,,,,
12,201,0,21600,2,21 37,1 1,,,,,,,,
12,202,0,21600,2,4 12,1 1,,,,,,,,
12,203,0,21600,2,5 13,1 1,,,,,,,,
12,204,0,21600,2,29 49,1 1,,,,,,,,
12,205,0,21600,2,49 53,1 1,,,,,,,,
12,206,0,21600,2,4 12,1 1,,,,,,,,
12,207,0,21600,2,5 13,1 1,,,,,,,,
12,208,0,21600,2,21 37,1 1,,,,,,,,
12,209,0,21600,2,4 12,1 1,,,,,,,,
12,210,0,21600,2,5 13,1 1,,,,,,,,
12,211,0,21600,2,29 49,1 1,,,,,,,,
12,212,0,21600,2,49 53,1 1,,,,,,,,
12,213,0,21600,2,4 12,1 1,,,,,,,,
12,214,0,21600,2,5 13,1 1,,,,,,,,
13,201,0,21600,2,21 37,1 1,,,,,,,,
13,202,0,21600,2,4 12,1 1,,,,,,,,
13,203,0,21600,2,5 13,1 1,,,,,,,,
13,204,0,21600,2,29 49,1 1,,,,,,,,
13,205,0,21600,2,49 53,1 1,,,,,,,,
13,206,0,21600,2,4 12,1 1,,,,,,,,
13,217,0,21600,2,21 37,1 1,,,,,,,,
13,218,0,21600,2,4 12,1 1,,,,,,,,
13,219,0,21600,2,5 13,1 1,,,,,,,,
13,220,0,21600,2,29 49,1 1,,,,,,,,
13,221,0,21600,2,49 53,1 1,,,,,,,,
13,222,0,21600,2,4 12,1 1,,,,,,,,
13,215,0,21600,2,5 13,1 1,,,,,,,,
13,216,0,21600,2,21 37,1 1,,,,,,,,
13,9999,0,0,0,9999,1,1000,,,,,,,
13,9999,3,0,0,9999,1,1001,,,,,,,
13,9999,6,0,0,9999,1,1002,,,,,,,
13,9999,9,0,0,9999,1,1003,,,,,,,
14,223,0,21600,2,4 12,1 1,,,,,,,,
14,224,0,21600,2,5 13,1 1,,,,,,,,
14,225,0,21600,2,29 49,1 1,,,,,,,,
14,226,0,21600,2,49 53,1 1,,,,,,,,
14,227,0,21600,2,4 12,1 1,,,,,,,,
14,228,0,21600,2,5 13,1 1,,,,,,,,
14,229,0,21600,2,21 37,1 1,,,,,,,,
14,230,0,21600,2,14 9,1 1,,,,,,,,
14,231,0,0,0,61,1,,,,,,,,
14,232,0,0,0,61,1,,,,,,,,
14,233,0,0,0,61,1,,,,,,,,
14,234,0,0,0,61,1,,,,,,,,
14,235,0,0,0,61,1,,,,,,,,
14,236,0,0,0,61,1,,,,,,,,
14,237,0,0,0,61,1,,,,,,,,
14,238,0,0,0,61,1,,,,,,,,
14,239,0,0,0,61,1,,,,,,,,
14,240,0,0,0,61,1,,,,,,,,
14,241,0,0,0,61,1,,,,,,,,
14,242,0,0,0,61,1,,,,,,,,
14,9999,0,0,0,9999,1,1004,,,,,,,
14,9999,3,0,0,9999,1,1005,,,,,,,
14,9999,6,0,0,9999,1,1064,,,,,,,
15,223,0,21600,2,4 12,1 1,,,,,,,,
15,224,0,21600,2,5 13,1 1,,,,,,,,
15,225,0,21600,2,29 49,1 1,,,,,,,,
15,226,0,21600,2,49 53,1 1,,,,,,,,
15,227,0,21600,2,4 12,1 1,,,,,,,,
15,228,0,21600,2,5 13,1 1,,,,,,,,
15,229,0,21600,2,21 37,1 1,,,,,,,,
15,230,0,21600,2,4 12,1 1,,,,,,,,
15,243,0,21600,2,5 13,1 1,,,,,,,,
15,244,0,21600,2,29 49,1 1,,,,,,,,
15,245,0,21600,2,49 53,1 1,,,,,,,,
15,246,0,21600,2,4 12,1 1,,,,,,,,
15,247,0,21600,2,5 13,1 1,,,,,,,,
15,248,0,21600,2,21 37,1 1,,,,,,,,
15,249,0,21600,2,13 9,1 1,,,,,,,,
15,250,0,21600,2,14 9,1 1,,,,,,,,
15,251,0,21600,2,7 9,1 1,,,,,,,,
15,252,0,21600,2,8 9,1 1,,,,,,,,
15,9999,0,0,0,9999,1,1065,,,,,,,
15,9999,3,0,0,9999,1,1066,,,,,,,
15,9999,6,0,0,9999,1,1067,,,,,,,
16,243,0,21600,2,5 13,1 1,,,,,,,,
16,244,0,21600,2,21 37,1 1,,,,,,,,
16,245,0,21600,2,13 9,1 1,,,,,,,,
16,246,0,21600,2,14 9,1 1,,,,,,,,
16,247,0,21600,2,7 9,1 1,,,,,,,,
16,248,0,21600,2,8 9,1 1,,,,,,,,
16,249,0,21600,2,4 12,1 1,,,,,,,,
16,250,0,21600,2,5 13,1 1,,,,,,,,
16,251,0,21600,2,29 49,1 1,,,,,,,,
16,252,0,21600,2,49 53,1 1,,,,,,,,
16,510,0,21600,2,59 60,1 1,,,,,,,,
16,511,0,21600,2,59 60,1 1,,,,,,,,
16,512,0,21600,2,59 60,1 1,,,,,,,,
16,513,0,21600,2,59 60,1 1,,,,,,,,
16,9999,0,0,0,9999,1,1068,,,,,,,
16,9999,3,0,0,9999,1,1069,,,,,,,
16,9999,6,0,0,9999,1,1070,,,,,,,
16,9999,9,0,0,9999,1,1071,,,,,,,
16,9999,12,0,0,9999,1,1072,,,,,,,
16,9999,15,0,0,9999,1,1073,,,,,,,
16,9999,18,0,0,9999,1,1074,,,,,,,
50,9999,0,0,0,9999,1,1046,,,,,,,
50,9999,3,0,0,9999,1,1047,,,,,,,
50,9999,6,0,0,9999,1,1048,,,,,,,
50,9999,9,0,0,9999,1,1063,,,,,,,
51,9999,0,0,0,9999,1,1051,,,,,,,
51,9999,3,0,0,9999,1,1052,,,,,,,
51,9999,6,0,0,9999,1,1053,,,,,,,
51,9999,9,0,0,9999,1,1054,,,,,,,
51,9999,12,0,0,9999,1,1055,,,,,,,
100,30001,0,0,0,32200,1,,,,,,,,
100,510,0,21600,10,71,1,,,,,,,,
100,511,0,21600,2,2 10,1 1,,,,,,,,
100,512,0,21600,2,1 25,1 1,,,,,,,,
100,513,0,21600,2,9 42,1 1,,,,,,,,
100,9999,0,0,0,9999,1,1034,,,,,,,
100,9999,3,0,0,9999,1,1035,,,,,,,
100,9999,6,0,0,9999,1,1036,,,,,,,
100,9999,9,0,0,9999,1,1037,,,,,,,
100,9999,12,0,0,9999,1,1038,,,,,,,
101,30001,8,0,0,32201,1,,,,,,,,
101,510,5,21600,2,1 71,1 1,,,,,,,,
101,511,5,21600,2,2 10,1 1,,,,,,,,
101,512,5,21600,2,1 25,1 1,,,,,,,,
101,513,5,21600,2,9 42,1 1,,,,,,,,
101,9999,30,0,0,9999,1,1044,,,,,,,
101,9999,60,0,0,9999,1,1045,,,,,,,
101,9999,90,0,0,9999,1,1056,,,,,,,
101,9999,120,0,0,9999,1,1057,,,,,,,
101,9999,123,0,0,9999,1,1058,,,,,,,
101,9999,180,0,0,9999,1,1059,,,,,,,
101,9999,210,0,0,9999,1,1060,,,,,,,
101,9999,240,0,0,9999,1,1061,,,,,,,
102,500,0,0,0,500,1,,,,,,,,
