스킬명(##은 코드용),id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
휘두르기2약75-50,1300,4,2,3,2,zbs_attack2,0.26,25,120,5,7,4,0,15,50,74,5,-1,500,250,0
휘두르기2강50-25,1300,4,2,3,2,knife_attack2,0.23,40,180,5,9,4,0,15,25,49,5,-1,600,280,0
휘두르기2강25-0,1300,4,2,3,2,knife_attack2,0.23,45,180,5,9,4,0,15,0,24,5,-1,700,290,0
리프어택약100-75,1300,5,1,10,4,zbs_attack3,0.5,25,0,5,10,0,12,1000,75,100,0,-1,600,200,30
리프어택약75-50,1300,5,1,10,4,zbs_attack3,0.5,30,0,5,11,0,12,1000,50,74,0,-1,650,200,30
리프어택걍50-25,1300,5,1,10,4,knife_attack3,0.5,45,0,5,14,0,12,1000,25,49,0,-1,700,200,30
리프어택걍25-0,1300,5,1,10,4,knife_attack3,0.5,55,0,5,16,0,12,1000,0,24,0,-1,750,200,30
리프어택약99,1300,5,255,999999,4,zbs_attack3,0.5,15,0,5,10,0,0,1000,90,99,0,-1,800,200,30
블랙홀약100-75,1300,6,1,10,6,zbs_attack_hole,5,20,0,5,10,0,12,1000,75,100,0,-1,650,250,250
블랙홀약75-50,1300,6,1,10,6,zbs_attack_hole,5,25,0,5,11,0,12,1000,50,74,0,-1,600,250,300
블랙홀강50-25,1300,6,1,10,6,knife_attack_hole,5,35,0,5,14,0,12,1000,25,49,0,-1,700,250,380
블랙홀강25-0,1300,6,1,10,6,knife_attack_hole,5,45,0,5,16,0,12,1000,0,24,0,-1,800,250,450
블랙홀약99,1300,6,254,999999,6,zbs_attack_hole,5,10,0,5,10,0,0,1000,90,99,0,-1,800,200,400
폭격약100-75,1300,7,1,20,11,zbs_attack_bomb,3,10,0,0,5,0,12,1000,75,100,0,-1,200,150,0
폭격약75-50,1300,7,1,20,11,zbs_attack_bomb,3,15,0,0,6,0,12,1000,50,74,0,-1,200,150,0
폭격강50-25,1300,7,1,20,11,knife_attack_bomb,3,20,0,0,8,0,12,1000,25,49,0,-1,200,150,0
폭격강25-0,1300,7,1,20,11,knife_attack_bomb,3,30,0,0,9,0,12,1000,0,24,0,-1,200,150,0
등장100,1300,8,255,999999,7,scene_appear,0,0,0,0,0,0,0,1000,50,100,0,-1,0,0,0
변신50,1300,9,255,999999,10,scene_knife,0,0,0,0,0,0,0,1000,0,49,0,-1,0,0,0
디오네 등장,1400,10,255,999999,12,appear1,0.2,0,0,0,0,0,0,1000,99,100,0,-1,0,0,0
물어뜯기(Bite),1400,12,4,5,3.36,zbs_attack_bite,0.5,20,35,5,8,4,0,15,50,100,5,-1,500,250,0
물어뜯기 광폭화,1400,12,2,5,3.36,zbs_attack_bite,0.5,35,35,5,8,4,0,15,0,50,5,-1,500,250,0
후려치기(Whirldwind),1400,13,4,12,3.53,zbs_attack_swing,0.75,30,0,5,10,3,0,15,50,100,5,-1,800,350,0
후려치기(Whirldwind) 광폭화,1400,13,3,12,3.53,zbs_attack_swing,0.75,40,0,5,10,3,0,15,0,50,5,-1,950,400,0
가시촉수(Sunken spine) 최초,1400,14,255,999999,7.4,zbs_attack_tentacle1,2.3,45,45,5,7,1,5,1000,95,100,15,-1,300,200,0
가시촉수 패턴 1,1400,14,3,20,7.4,zbs_attack_tentacle1,2.3,45,45,5,7,1,5,1000,50,95,15,-1,300,200,0
가시촉수 패턴 2,1400,15,3,20,7.4,zbs_attack_tentacle1,2.3,45,45,5,7,1,5,1000,0,50,15,-1,300,200,0
가시촉수 패턴 3 광폭화 메시지,1400,16,255,999999,10.8,zbs_attack_tentacle2,2.3,45,45,5,7,1,5,1000,0,50,15,-1,300,200,0
가시촉수 패턴 3 - RushPower가 트리거 번호!!,1400,16,3,25,10.8,zbs_attack_tentacle2,2.3,45,45,5,7,1,5,1000,0,50,15,-1,300,200,30
독액(Posion ball) 최초,1400,17,255,999999,4.4,zbs_attack_poison1,4.1,20,0,5,7,0,5,1000,95,100,0,-1,300,200,30
독액 패턴 1 - RushPower가 도트데미지(9번),1400,17,5,30,4.4,zbs_attack_poison1,4.1,20,0,5,7,0,5,1000,50,95,0,-1,300,200,30
독액 패턴 2,1400,18,5,25,8.4,zbs_attack_poison2,4.1,25,0,5,7,0,5,1000,0,50,0,-1,300,200,50
롤링어택(Rolling attack),1400,19,4,15,2.5,zbs_attack_rolling1,0.75,45,0,5,0,0,0,1000,50,100,0,-1,700,300,900
롤링어택 광폭화,1400,19,4,12,2.5,zbs_attack_rolling1,0.75,55,0,5,0,0,0,1000,0,50,0,-1,700,300,900
등장,1500,61,255,999999,10,scene_appear1,0.56,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
고체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1500,62,10,10,1.4,zbs_cannon_ready,1,15,0,0,0,3,6,30,75,100,20,-1,100,100,1
중체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1500,62,10,10,1.4,zbs_cannon_ready,1,20,0,0,0,3,6,30,30,75,20,-1,100,100,2
저체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1500,62,10,10,1.4,zbs_cannon_ready,1,25,0,0,0,3,6,30,0,30,20,-1,100,100,3
고체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1500,63,10,10,6.467,zbs_cannon2,0.867,15,0,0,0,3,6,30,75,100,20,-1,100,100,1
중체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1500,63,10,10,6.467,zbs_cannon2,0.867,20,0,0,0,3,6,30,30,75,20,-1,100,100,2
저체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1500,63,10,10,6.467,zbs_cannon2,0.867,25,0,0,0,3,6,30,0,30,20,-1,100,100,3
돌진,1500,68,10,10,1.2,zbs_dash_ready,1,65,0,0,0,3,0,30,0,100,15,-1,1000,500,2000
고체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1500,64,10,10,5.1,zbs_landmine1,1,20,180,5,8,1,0,30,50,100,20,-1,100,500,1
저체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1500,64,10,10,5.1,zbs_landmine1,1,30,180,5,8,1,0,30,0,50,20,-1,100,500,2
고체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1500,65,10,10,4.5,zbs_landmine2,1,45,0,0,0,1,0,30,50,100,20,-1,100,500,14
저체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1500,65,10,10,4.5,zbs_landmine2,1,55,0,0,0,1,0,30,0,50,20,-1,100,500,28
펀치,1500,66,10,10,3.3,zbs_attack1,1.4,45,120,5,10,3,0,10,0,100,6,-1,2000,500,0
어퍼컷,1500,67,10,10,3.4,zbs_attack2,1,45,120,5,8,3,0,10,0,100,5,-1,100,2000,0
친구 소환(최대1명),1500,70,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,50,85,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,45,50,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,40,45,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,35,40,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,30,35,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,25,30,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,20,25,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,15,20,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,10,15,1000,-1,0,0,0
친구 소환,1500,69,255,999999,4.7,scene_howling,20,0,0,0,0,0,0,1000,5,10,1000,-1,0,0,0
친구 1 등장,1501,61,255,30,5,scene_appear1,0.56,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
돌진,1501,68,25,12,1.2,zbs_dash_ready,1,55,0,0,0,3,0,30,0,100,15,-1,1000,500,2000
펀치,1501,66,10,10,3.3,zbs_attack1,1.4,45,120,5,10,3,0,1000,0,100,6,-1,2000,500,0
어퍼컷,1501,67,10,10,3.4,zbs_attack2,1,45,120,5,10,3,0,1000,0,100,5,-1,100,2000,0
친구 2 등장,1502,61,255,30,5,scene_appear1,0.56,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
돌진,1502,68,10,180,1.2,zbs_dash_ready,1.2,20,0,0,0,3,0,30,0,100,15,-1,1000,500,2000
좁은 캐논 공격(rushPower: 캐논 배수),1502,62,10,10,1.4,zbs_cannon_ready,1,25,0,0,0,3,6,30,0,100,20,-1,100,100,2
넓은 캐논 공격(rushPower: 캐논 배수),1502,63,10,10,6.467,zbs_cannon2,0.867,25,0,0,0,3,6,30,0,100,20,-1,100,100,2
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,30,0,3,10,3,0,10,80,100,6,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,25,90,3,8,3,0,15,80,100,5,-1,500,300,0
러쉬,1000,2,40,10,2.5,zbs_attack_mahadash,0.88,15,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,45,0,3,10,3,0,10,60,79,6,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,40,90,3,9,3,0,15,60,79,5,-1,500,300,0
러쉬,1000,2,40,10,2.5,zbs_attack_mahadash,0.88,20,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,55,0,3,11,3,0,10,40,59,6,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,55,90,3,9,3,0,15,40,59,5,-1,500,300,0
러쉬,1000,2,40,10,2.5,zbs_attack_mahadash,0.88,40,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,60,0,3,12,3,0,10,20,39,6,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,60,90,3,9,3,0,15,20,39,5,-1,500,300,0
러쉬,1000,2,40,9,2.5,zbs_attack_mahadash,0.88,55,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1000,0,40,6,2.5,zbs_attack_shockwave,2,65,0,3,13,3,0,10,0,19,6,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,65,90,3,9,3,0,15,0,19,5,-1,500,300,0
러쉬,1000,2,50,8,2.5,zbs_attack_mahadash,0.88,65,0,0,0,0,6,20,0,19,0,-1,800,400,1400
휘두르기1-1,1001,97,5,10,4,zbs_attack1,0.93,40,25,5,8,2,0,10,60,100,5,-1,0,500,500
휘두르기1-2,1001,98,0,0,4,zbs_attack1,0.93,40,90,5,8,0,0,10,60,100,1000,-1,0,500,500
휘두르기2-1,1001,99,5,10,4,zbs_attack2,0.93,40,25,5,8,2,0,10,60,90,5,-1,0,500,500
휘두르기2-2,1001,100,0,0,4,zbs_attack2,0.93,40,25,5,8,0,0,10,60,90,1000,-1,0,500,500
휘두르기1-1,1002,97,5,10,4,zbs_attack1,0.93,45,25,5,8,2,0,10,0,60,5,-1,0,500,500
휘두르기1-2,1002,98,0,0,4,zbs_attack1,0.93,45,90,5,8,0,0,10,0,60,1000,-1,0,500,500
휘두르기2-1,1002,99,5,10,4,zbs_attack2,0.93,45,25,5,8,2,0,10,0,60,5,-1,0,500,500
휘두르기2-2,1002,100,0,0,4,zbs_attack2,0.93,45,25,5,8,0,0,10,0,60,1000,-1,0,500,500
휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,20,90,5,0,1,0,1000,60,80,1000,-1,100,150,300
휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,20,0,5,0,0,0,1000,60,80,1000,-1,0,300,300
휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,30,90,5,0,1,0,1000,0,60,1000,-1,100,150,300
휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,30,0,5,0,0,0,1000,0,60,1000,-1,0,300,300
