"Mode(8=Zombi. 9=Zombi_Expand, 11=Zombi_Team, 13=Zombi_Team_ann, 14=Zombi_3, 20=Zombi_Escape, 24=BotZombie, 32=Zombi_Exterminate) ","ZombiType(0=일반좀비, 1=라이트좀비, 2=헤비좀비, 3=싸이코, 4=부두, 5=데이모스, 6=가니메데, 7=언더테이커, 8=밴시, 9=강시, 10=부머, 11=스팅핑거, 12=무적좀비, 13=텔포좀비, 14=부스터좀비, 15=좀폭 패스 좀비, 16=플라잉좀비, 17=아크샤, 18=좀5탱커, 19=좀5거미, -1~-4 = 좀비개별제한 1~4, -5 = 라운드제한 일반 좀비) (좀비 타입이 음수일 경우, 좀비 능력치에 해당 파라미터값을 더하여 적용)",EvolveType,MaxSpeed,Gravity,MaxSpeed_Crazy,Gravity_Crazy,MaxSpeed_Stun,Gravity_Stun,TakeDmg_Rate_Crazy,TakeDmg_Rate,Heal_Rate,FowardJump,Jump,Stand,Duck,VelocityMod,KBRate_Crazy,VelModRate_Crazy,VelModRate_Crazy_MinValue,Health(좀비 체력),Armor(좀비 아머),HeadShotDefenece(헤드샷 방어),EvolveGauge(진화 게이지),AddedEvolveGaugeWhenKillHuman(인간 킬 했을 때 진화게이지에 추가되는 퍼센트),AddedEvolveGaugeWhenKillHero(영웅 킬 했을 때 진화게이지에 추가되는 퍼센트),Move_Heal_Time(이동시 ,QuestSpecUpHealth,QuestSpecUpArmor,QuestSpecUpKnockBack
9,11,1,330,0.65,330,0.6,100,1,2.2,1.5,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
9,11,2,345,0.6,345,0.6,100,1,2.2,1.5,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,25000,6000,0.4,0,0,0,2,3000,1000,0.8
9,12,0,290,0.8,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,20000,5000,0.4,1.2,40,100,2,3000,1000,0.8
9,12,1,319,0.7,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,25000,6000,0.4,1.5,20,50,2,3000,1000,0.8
9,12,2,333,0.65,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,30000,7000,0.4,0,0,0,2,3000,1000,0.8
9,13,0,300,0.7,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,20000,5000,0.4,1.2,40,100,2,3000,1000,0.8
9,13,1,330,0.65,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,25000,6000,0.4,1.5,20,50,2,3000,1000,0.8
9,13,2,345,0.6,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,30000,7000,0.4,0,0,0,2,3000,1000,0.8
9,14,0,300,0.65,300,0.55,100,1,2.2,1.4,1000,2,2,3,3,0.9,1,1,0.55,15000,4000,0,1.2,40,100,2,3000,1000,0.8
9,14,1,330,0.6,330,0.55,100,1,2.2,1.4,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
9,14,2,345,0.55,345,0.55,100,1,2.2,1.4,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,25000,6000,0.4,0,0,0,2,3000,1000,0.8
9,15,0,290,0.75,350,0.6,100,1,0.9,1,1000,1,1,1,1,1,1,1,0.55,15000,4000,0,1.2,40,100,2,3000,1000,0.8
9,15,1,319,0.65,350,0.6,100,1,0.9,1,1000,0.75,0.75,0.7,0.7,1,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
9,15,2,333,0.6,350,0.6,100,1,0.9,1,1000,0.75,0.75,0.7,0.7,1,1,1,0.55,25000,6000,0.4,0,0,0,2,3000,1000,0.8
9,16,0,290,0.65,395,0.55,100,1,2,1.35,1000,2,2,3,3,0.9,0.7,0.2,0.2,15000,4000,0,1.2,40,100,2,3000,1000,0.8
9,16,1,319,0.6,395,0.55,100,1,2,1.35,1000,1.7,1.7,2.4,2.4,0.9,0.7,0.2,0.2,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
9,16,2,334,0.55,395,0.55,100,1,2,1.35,1000,1.7,1.7,2.4,2.4,0.9,0.7,0.2,0.2,25000,6000,0.4,0,0,0,2,3000,1000,0.8
9,17,0,290,0.85,0,0,100,1,1,0.9,1000,0.85,0.85,0.85,0.85,1,1,1,0,15000,4000,0,1.2,40,100,2,3000,1000,0.8
9,17,1,319,0.75,0,0,100,1,1,0.9,1000,0.65,0.65,0.55,0.55,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
9,17,2,333,0.7,0,0,100,1,1,0.9,1000,0.65,0.65,0.55,0.55,1,1,1,0,25000,6000,0.4,0,0,0,2,3000,1000,0.8
14,0,0,290,0.8,415,0.7,100,0.8,1.3,1,1000,1,1,1,1,1,0.7,0.55,0.55,15000,4000,0,1.2,40,100,2,3000,800,0.4
14,0,1,319,0.72,415,0.7,100,0.8,1.3,1,1000,0.75,0.75,0.7,0.7,1,0.7,0.55,0.55,20000,5000,0.2,1.5,20,50,2,4000,1000,0.4
14,0,2,334,0.7,415,0.7,100,0.8,1.3,1,1000,0.75,0.75,0.7,0.7,1,0.7,0.55,0.55,25000,6000,0.4,0,0,0,2,5000,1200,0.4
14,1,0,310,0.65,250,0.55,100,1,1.8,1.3,1000,2,2,3,3,0.9,1,1,0.55,15000,4000,0,1.2,40,100,2,1500,1600,0.8
14,1,1,341,0.6,250,0.55,100,1,1.8,1.3,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,2000,2000,0.8
14,1,2,356,0.55,250,0.5,100,1,1.8,1.3,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,25000,6000,0.4,0,0,0,2,2500,2400,0.8
14,2,0,265,0.9,0,0,100,1,0,0.5,1000,0.25,0.3,0.08,0.1,0.99,1,1,0,15000,4000,0,1.2,40,100,2,6000,400,0.8
14,2,1,313,0.8,0,0,100,1,0,0.5,1000,0.2,0.25,0.05,0.05,0.99,1,1,0,20000,5000,0.2,1.5,20,50,2,8000,500,0.8
14,2,2,327,0.75,0,0,100,1,0,0.5,1000,0.2,0.25,0.05,0.05,0.99,1,1,0,25000,6000,0.4,0,0,0,2,10000,600,0.8
14,3,0,290,0.8,150,0.8,100,0.8,0.9,0.9,1000,1,1,1,1,1,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,3,1,319,0.7,150,0.7,100,0.8,0.9,0.9,1000,0.85,0.85,0.8,0.8,1,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,3,2,333,0.65,150,0.65,100,0.8,0.9,0.9,1000,0.85,0.85,0.8,0.8,1,1,1,0,25000,6000,0.4,0,0,0,2,6250,1500,0.8
14,4,0,280,0.8,0,0,100,0.8,0,1.2,1000,1,1,1,1,1,1,1,0,15000,4000,0,1.2,40,100,2,1500,1600,0.8
14,4,1,319,0.7,0,0,100,0.8,0,1.2,1000,0.9,0.9,0.9,0.9,1,1,1,0,20000,5000,0.2,1.5,20,50,2,2000,2000,0.8
14,4,2,333,0.65,0,0,100,0.8,0,1.2,1000,0.9,0.9,0.9,0.9,1,1,1,0,25000,6000,0.4,0,0,0,2,2500,2400,0.8
14,5,0,290,0.85,0,0,100,1,0,0.95,1000,0.9,0.9,0.9,0.9,1,1,1,0,15000,4000,0,1.2,40,100,2,3000,800,0.4
14,5,1,319,0.75,0,0,100,1,0,0.95,1000,0.7,0.7,0.6,0.6,1,1,1,0,20000,5000,0.2,1.5,20,50,2,4000,1000,0.4
14,5,2,333,0.7,0,0,100,1,0,0.95,1000,0.7,0.7,0.6,0.6,1,1,1,0,25000,6000,0.4,0,0,0,2,5000,1200,0.4
14,6,0,275,0.85,192,0.7,100,0.8,1,0.7,1000,0.35,0.35,0.12,0.12,0.95,0.6,0.8,0.55,15000,4000,0,1.2,40,100,2,3000,800,0.4
14,6,1,308,0.75,215,0.7,100,0.8,1,0.7,1000,0.3,0.3,0.08,0.08,0.95,0.55,0.8,0.55,20000,5000,0.2,1.5,20,50,2,4000,1000,0.4
14,6,2,322,0.7,225,0.7,100,0.8,1,0.7,1000,0.3,0.3,0.08,0.08,0.95,0.55,0.8,0.55,25000,6000,0.4,0,0,0,2,5000,1200,0.4
14,7,0,270,0.8,0,0,100,0.8,0,0.65,1000,0.75,0.75,0.35,0.35,0.95,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,7,1,297,0.7,0,0,100,0.8,0,0.65,1000,0.65,0.65,0.25,0.25,0.95,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,7,2,310,0.65,0,0,100,0.8,0,0.65,1000,0.65,0.65,0.25,0.25,0.95,1,1,0,25000,6000,0.4,0,0,0,2,6250,1500,0.8
14,8,0,290,0.7,290,0.6,100,1,0.5,1.2,1000,1.1,1.1,1.1,1,0.85,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,8,1,319,0.65,319,0.6,100,1,0.5,1.2,1000,0.75,0.9,1,0.9,0.85,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,8,2,333,0.6,333,0.6,100,1,0.5,1.2,1000,0.75,0.9,1,0.9,0.85,1,1,0,25000,6000,0.4,0,0,0,2,6250,1500,0.8
14,9,0,285,0.7,285,0.7,100,0.8,1,1,1000,1,1,1,1,1,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,9,1,313,0.65,313,0.65,100,0.8,1,1,1000,0.75,0.75,0.7,0.7,1,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,9,2,328,0.6,328,0.6,100,0.8,1,1,1000,0.75,0.75,0.7,0.7,1,1,1,0,25000,6000,0.4,0,0,0,2,6250,1500,0.8
14,10,0,265,0.9,380,0.75,100,1,1.2,0.6,1000,1,1,1,1,0.99,0.7,0.55,0.55,15000,4000,0,1.2,40,100,2,6000,400,0.8
14,10,1,313,0.8,380,0.75,100,1,1.2,0.6,1000,0.75,0.75,0.7,0.7,0.99,0.7,0.55,0.55,20000,5000,0.2,1.5,20,50,2,8000,500,0.8
14,10,2,328,0.75,380,0.75,100,1,1.2,0.6,1000,0.75,0.75,0.7,0.7,0.99,0.7,0.55,0.55,25000,6000,0.4,0,0,0,2,10000,600,0.8
14,11,0,300,0.7,300,0.6,100,1,2.2,1.5,1000,2,2,3,3,0.9,1,1,0.55,15000,4000,0,1.2,40,100,2,1500,1600,0.8
14,11,1,330,0.65,330,0.6,100,1,2.2,1.5,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,2000,2000,0.8
14,11,2,345,0.6,345,0.6,100,1,2.2,1.5,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,25000,6000,0.4,0,0,0,2,2500,2400,0.8
14,12,0,290,0.8,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,20000,5000,0.4,1.2,40,100,2,0,0,1
14,12,1,319,0.7,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,25000,6000,0.4,1.5,20,50,2,0,0,1
14,12,2,333,0.65,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,30000,7000,0.4,0,0,0,2,0,0,1
14,13,0,300,0.7,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,20000,5000,0.4,1.2,40,100,2,0,0,1
14,13,1,330,0.65,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,25000,6000,0.4,1.5,20,50,2,0,0,1
14,13,2,345,0.6,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,30000,7000,0.4,0,0,0,2,0,0,1
14,14,0,300,0.65,300,0.55,100,1,2.2,1.4,1000,2,2,3,3,0.9,1,1,0.55,15000,4000,0,1.2,40,100,2,1500,1600,0.8
14,14,1,330,0.6,330,0.55,100,1,2.2,1.4,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,2000,2000,0.8
14,14,2,345,0.55,345,0.55,100,1,2.2,1.4,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,25000,6000,0.4,0,0,0,2,2500,2400,0.8
14,15,0,290,0.75,350,0.6,100,1,0.9,1,1000,1,1,1,1,1,1,1,0.55,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,15,1,319,0.65,350,0.6,100,1,0.9,1,1000,0.75,0.75,0.7,0.7,1,1,1,0.55,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,15,2,333,0.6,350,0.6,100,1,0.9,1,1000,0.75,0.75,0.7,0.7,1,1,1,0.55,25000,6000,0.4,0,0,0,2,6250,1500,0.8
14,16,0,290,0.65,395,0.55,100,1,2,1.35,1000,2,2,3,3,0.9,0.7,0.2,0.2,15000,4000,0,1.2,40,100,2,1500,1600,0.8
14,16,1,319,0.6,395,0.55,100,1,2,1.35,1000,1.7,1.7,2.4,2.4,0.9,0.7,0.2,0.2,20000,5000,0.2,1.5,20,50,2,2000,2000,0.8
14,16,2,334,0.55,395,0.55,100,1,2,1.35,1000,1.7,1.7,2.4,2.4,0.9,0.7,0.2,0.2,25000,6000,0.4,0,0,0,2,2500,2400,0.8
14,17,0,290,0.85,0,0,100,1,1,0.9,1000,0.85,0.85,0.85,0.85,1,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
14,17,1,319,0.75,0,0,100,1,1,0.9,1000,0.65,0.65,0.55,0.55,1,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
14,17,2,333,0.7,0,0,100,1,1,0.9,1000,0.65,0.65,0.55,0.55,1,1,1,0,25000,6000,0.4,0,0,0,2,6250,1500,0.8
20,0,0,290,0.8,415,0.7,100,0.8,1.3,1,1000,1,1,1,1,1,0.7,0.55,0.55,15000,4000,0,1.2,40,100,2,3000,1000,0.8
20,0,1,319,0.72,415,0.7,100,0.8,1.3,1,1000,0.75,0.75,0.7,0.7,1,0.7,0.55,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
20,2,0,265,0.9,0,0,100,1,0,0.5,1000,0.25,0.3,0.08,0.1,0.99,1,1,0,15000,4000,0,1.2,40,100,2,6000,400,0.8
20,2,1,313,0.8,0,0,100,1,0,0.5,1000,0.2,0.25,0.05,0.05,0.99,1,1,0,20000,5000,0.2,1.5,20,50,2,8000,500,0.8
20,7,0,270,0.8,0,0,100,0.8,0,0.65,1000,0.75,0.75,0.35,0.35,0.95,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
20,7,1,297,0.7,0,0,100,0.8,0,0.65,1000,0.65,0.65,0.25,0.25,0.95,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
20,8,0,290,0.7,290,0.6,100,1,0.5,1.2,1000,1.1,1.1,1.1,1,0.85,1,1,0,15000,4000,0,1.2,40,100,2,3750,1000,0.8
20,8,1,319,0.65,319,0.6,100,1,0.5,1.2,1000,0.75,0.9,1,0.9,0.85,1,1,0,20000,5000,0.2,1.5,20,50,2,5000,1250,0.8
32,0,0,319,0.72,415,0.7,100,0.8,1.3,1,1000,0.75,0.75,0.7,0.7,1,0.7,0.55,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,1,0,341,0.6,273,0.55,100,1,1.8,1.3,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,2,0,313,0.8,0,0,100,1,0,0.5,1000,0.2,0.25,0.05,0.05,0.99,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,3,0,319,0.7,150,0.7,100,0.8,0.9,0.9,1000,0.85,0.85,0.8,0.8,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,4,0,319,0.7,0,0,100,0.8,0,1.2,1000,0.9,0.9,0.9,0.9,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,5,0,319,0.75,0,0,100,1,0,0.95,1000,0.7,0.7,0.6,0.6,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,6,0,308,0.75,215,0.7,100,0.8,1,0.7,1000,0.3,0.3,0.08,0.08,0.95,0.55,0.8,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,7,0,297,0.7,0,0,100,0.8,0,0.65,1000,0.65,0.65,0.25,0.25,0.95,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,8,0,319,0.65,319,0.6,100,1,0.5,1.2,1000,0.75,0.9,1,0.9,0.85,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,9,0,313,0.65,313,0.65,100,0.8,1,1,1000,0.75,0.75,0.7,0.7,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,10,0,313,0.8,380,0.75,100,1,1.2,0.6,1000,0.75,0.75,0.7,0.7,0.99,0.7,0.55,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,11,0,330,0.65,330,0.6,100,1,2.2,1.5,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,12,0,319,0.7,220,0.7,100,1,2.2,0.5,1000,0.25,0.28,0.07,0.07,0.97,0.7,1.5,0.55,25000,5000,0.4,1.5,20,50,2,3000,1000,0.8
32,13,0,330,0.65,300,0.6,100,1,0.6,1,1000,1.5,1.5,2,2,0.9,1,1,0.55,25000,5000,0.4,1.5,20,50,2,3000,1000,0.8
32,14,0,330,0.6,330,0.55,100,1,2.2,1.4,1000,1.7,1.7,2.4,2.4,0.9,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,15,0,319,0.65,350,0.6,100,1,0.9,1,1000,0.75,0.75,0.7,0.7,1,1,1,0.55,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,16,0,319,0.6,395,0.55,100,1,2,1.35,1000,1.7,1.7,2.4,2.4,0.9,0.7,0.2,0.2,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
32,17,0,319,0.75,0,0,100,1,1,0.9,1000,0.65,0.65,0.55,0.55,1,1,1,0,20000,5000,0.2,1.5,20,50,2,3000,1000,0.8
46,0,1,334,0.7,450,0,250,0.8,1,0.15,1000,0.5,0.5,0.5,0.3,0.15,0.01,0.01,0.01,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,1,1,356,0.55,220,0.55,250,1,1,0.2,1000,1.2,1.2,1.2,1.2,0.17,0.01,0.01,0.01,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,2,1,327,0.75,0,0,250,1,1,0.1,1000,0.3,0.3,0.3,0.3,0.14,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,3,1,333,0.65,150,0.65,250,0.8,1,0.14,1000,0.5,0.5,0.5,0.3,0.15,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,4,1,333,0.65,0,0,250,0.8,1,0.18,1000,0.5,0.5,0.5,0.3,0.15,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,5,1,333,0.7,0,0,250,1,1,0.15,1000,0.5,0.5,0.5,0.3,0.15,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,6,1,322,0.7,225,0.7,250,0.8,1,0.12,1000,0.5,0.5,0.5,0.3,0.15,0.01,0.01,0.01,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,7,1,310,0.65,0,0,250,0.8,1,0.12,1000,0.5,0.5,0.5,0.3,0.15,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
46,8,1,333,0.6,333,0.6,250,1,1,0.18,1000,1.2,1.2,1.2,1.2,0.17,1,1,0,10000,10000,0.5,0,0,0,2,3000,1000,0.8
