gametype,2,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,20,,,,,,,,,,
round,waveTypes,limit time,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
43,1 2 3 104,510,92,0,1482,982,36,-2,160,5,1
44,4 104,510,94,0,1500,1000,36,-2,160,5,1
45,5 104,510,93,0,1482,982,36,-2,160,5,1
46,1 6 104,510,96,0,1536,1036,36,-2,160,5,1
47,7 104,510,98,0,1554,1054,36,-2,160,5,1
48,8 104,510,100,0,1572,1072,36,-2,160,5,1
49,9 104,510,102,0,1599,1099,36,-2,160,5,1
50,10 105 108,900,88,0,2310,1810,36,-2,160,6,1
51,11 104,480,106,0,1590,1090,36,-2,160,5,1
52,12 104,480,107,0,1617,1117,36,-2,160,5,1
53,13 104,480,108,0,1635,1135,36,-2,160,5,1
54,14 104,480,109,0,1662,1162,36,-2,160,5,1
55,15 104,480,110,0,1689,1189,36,-2,160,5,1
56,13 104,480,111,0,1707,1207,36,-2,160,5,1
57,14 104,480,112,0,1725,1225,36,-2,160,5,1
58,18 104,480,113,0,1752,1252,36,-2,160,5,1
59,18 104,480,114,0,1770,1270,36,-2,160,5,1
60,106 107,1800,108,0,1410,910,10,-2,200,6,1
61,1 104,450,117,0,2020,1345,36,-2,160,5,1
62,1 2 104,450,119,0,2041,1366,36,-2,160,5,1
63,1 2 3 104,450,121,0,2076,1401,36,-2,160,5,1
64,4 104,450,122,0,2090,1415,36,-2,160,5,1
65,5 104,450,122,0,2076,1401,36,-2,160,5,1
66,1 6 104,450,124,0,2118,1443,36,-2,160,5,1
67,7 104,450,126,0,2132,1457,36,-2,160,5,1
68,8 104,450,128,0,2146,1471,36,-2,160,5,1
69,9 104,450,130,0,2167,1492,36,-2,160,5,1
70,10 105 108,900,107,0,2720,2045,36,-2,160,6,1
71,11 104,420,133,0,2160,1485,36,-2,160,5,1
72,12 104,420,134,0,2181,1506,36,-2,160,5,1
73,13 104,420,135,0,2195,1520,36,-2,160,5,1
74,14 104,420,136,0,2216,1541,36,-2,160,5,1
75,15 104,420,137,0,2237,1562,36,-2,160,5,1
76,13 104,420,138,0,2251,1576,36,-2,160,5,1
77,14 104,420,139,0,2265,1590,36,-2,160,5,1
78,18 104,420,140,0,2286,1611,36,-2,160,5,1
79,18 104,420,140,0,2300,1625,36,-2,160,5,1
80,106 107,1800,125,0,2020,1345,10,-2,200,6,1
81,1 104,390,143,0,2550,1700,36,-2,160,5,1
82,1 2 104,390,145,0,2565,1715,36,-2,160,5,1
83,1 2 3 104,390,146,0,2590,1740,36,-2,160,5,1
84,4 104,390,147,0,2600,1750,36,-2,160,5,1
85,5 104,390,148,0,2590,1740,36,-2,160,5,1
86,1 6 104,390,149,0,2620,1770,36,-2,160,5,1
87,7 104,390,150,0,2630,1780,36,-2,160,5,1
88,8 104,390,153,0,2640,1790,36,-2,160,5,1
89,9 104,390,154,0,2655,1805,36,-2,160,5,1
90,10 105 108,900,143,0,3050,2200,36,-2,160,6,1
91,11 104,360,157,0,2650,1800,36,-2,160,5,1
92,12 104,360,158,0,2665,1815,36,-2,160,5,1
93,13 104,360,159,0,2675,1825,36,-2,160,5,1
94,14 104,360,160,0,2690,1840,36,-2,160,5,1
95,15 104,360,161,0,2705,1855,36,-2,160,5,1
96,13 104,360,161,0,2715,1865,36,-2,160,5,1
97,14 104,360,162,0,2725,1875,36,-2,160,5,1
98,18 104,360,163,0,2740,1890,36,-2,160,5,1
99,18 104,360,164,0,2750,1900,36,-2,160,5,1
100,106 107,1800,159,0,2550,1700,10,-2,200,6,1
101,1 104,330,167,0,3000,1975,36,-2,160,5,1
102,1 2 104,330,169,0,3015,1990,36,-2,160,5,1
103,1 2 3 104,330,170,0,3040,2015,36,-2,160,5,1
104,4 104,330,172,0,3050,2025,36,-2,160,5,1
105,5 104,330,171,0,3040,2015,36,-2,160,5,1
106,1 6 104,330,173,0,3070,2045,36,-2,160,5,1
107,7 104,330,175,0,3080,2055,36,-2,160,5,1
108,8 104,330,177,0,3090,2065,36,-2,160,5,1
109,9 104,330,178,0,3105,2080,36,-2,160,5,1
110,10 105 108,600,177,0,3500,2475,36,-2,160,6,1
111,11 104,300,181,0,3100,2075,36,-2,160,5,1
112,12 104,300,182,0,3115,2090,36,-2,160,5,1
113,13 104,300,182,0,3125,2100,36,-2,160,5,1
114,14 104,300,184,0,3140,2115,36,-2,160,5,1
115,15 104,300,185,0,3155,2130,36,-2,160,5,1
116,13 104,300,185,0,3165,2140,36,-2,160,5,1
117,14 104,300,186,0,3175,2150,36,-2,160,5,1
118,18 104,300,187,0,3190,2165,36,-2,160,5,1
119,18 104,300,188,0,3200,2175,36,-2,160,5,1
120,106 107,1200,183,0,3000,1975,10,-2,200,6,1
121,1 104,270,191,0,3450,2250,36,-2,160,5,1
122,1 2 104,270,193,0,3465,2265,36,-2,160,5,1
123,1 2 3 104,270,194,0,3490,2290,36,-2,160,5,1
124,4 104,270,196,0,3500,2300,36,-2,160,5,1
125,5 104,270,195,0,3490,2290,36,-2,160,5,1
126,1 6 104,270,197,0,3520,2320,36,-2,160,5,1
127,7 104,270,199,0,3530,2330,36,-2,160,5,1
128,8 104,270,200,0,3540,2340,36,-2,160,5,1
129,9 104,270,210,0,3555,2355,36,-2,160,5,1
130,10 105 108,600,220,0,3950,2750,36,-2,160,6,1
131,11 104,240,230,0,3550,2350,36,-2,160,5,1
132,12 104,240,240,0,3565,2365,36,-2,160,5,1
133,13 104,240,250,0,3575,2375,36,-2,160,5,1
134,14 104,240,260,0,3590,2390,36,-2,160,5,1
135,15 104,240,270,0,3605,2405,36,-2,160,5,1
136,13 104,240,280,0,3615,2415,36,-2,160,5,1
137,14 104,240,290,0,3625,2425,36,-2,160,5,1
138,18 104,240,300,0,3640,2440,36,-2,160,5,1
139,18 104,240,310,0,3650,2450,36,-2,160,5,1
140,106 107,1200,320,0,3450,2250,10,-2,200,6,1
141,1 104,210,330,0,3900,2525,36,-2,160,5,1
142,1 2 104,210,340,0,3915,2540,36,-2,160,5,1
143,1 2 3 104,210,350,0,3940,2565,36,-2,160,5,1
144,4 104,210,360,0,3950,2575,36,-2,160,5,1
145,5 104,210,370,0,3940,2565,36,-2,160,5,1
146,1 6 104,210,380,0,3970,2595,36,-2,160,5,1
147,7 104,210,390,0,3980,2605,36,-2,160,5,1
148,8 104,210,400,0,3990,2615,36,-2,160,5,1
149,9 104,210,410,0,4005,2630,36,-2,160,5,1
150,10 105 108,600,420,0,4400,3025,36,-2,160,6,1
151,11 104,180,430,0,4000,2625,36,-2,160,5,1
152,12 104,180,440,0,4015,2640,36,-2,160,5,1
153,13 104,180,450,0,4025,2650,36,-2,160,5,1
154,14 104,180,460,0,4040,2665,36,-2,160,5,1
155,15 104,180,470,0,4055,2680,36,-2,160,5,1
156,13 104,180,480,0,4065,2690,36,-2,160,5,1
157,14 104,180,490,0,4075,2700,36,-2,160,5,1
158,18 104,180,500,0,4090,2715,36,-2,160,5,1
159,18 104,180,500,0,4100,2725,36,-2,160,5,1
160,106 107,1200,500,0,3900,2525,10,-2,200,6,1
161,1 104,175,500,0,4350,2800,36,-2,160,5,1
162,1 2 104,175,500,0,4365,2815,36,-2,160,5,1
163,1 2 3 104,175,500,0,4390,2840,36,-2,160,5,1
164,4 104,175,500,0,4400,2850,36,-2,160,5,1
165,5 104,175,500,0,4390,2840,36,-2,160,5,1
166,1 6 104,175,500,0,4420,2870,36,-2,160,5,1
167,7 104,175,500,0,4430,2880,36,-2,160,5,1
168,8 104,175,500,0,4440,2890,36,-2,160,5,1
169,9 104,175,500,0,4455,2905,36,-2,160,5,1
170,10 105 108,600,500,0,4850,3300,36,-2,160,6,1
171,11 104,150,500,0,4450,2900,36,-2,160,5,1
172,12 104,150,500,0,4465,2915,36,-2,160,5,1
173,13 104,150,500,0,4475,2925,36,-2,160,5,1
174,14 104,150,500,0,4490,2940,36,-2,160,5,1
175,15 104,150,500,0,4505,2955,36,-2,160,5,1
176,13 104,150,500,0,4515,2965,36,-2,160,5,1
177,14 104,150,500,0,4525,2975,36,-2,160,5,1
178,18 104,150,500,0,4540,2990,36,-2,160,5,1
179,18 104,150,500,0,4550,3000,36,-2,160,5,1
180,106 107,1200,500,0,4350,2800,10,-2,200,6,1
181,1 104,135,500,0,4800,3075,36,-2,160,5,1
182,1 2 104,135,500,0,4815,3090,36,-2,160,5,1
183,1 2 3 104,135,500,0,4840,3115,36,-2,160,5,1
184,4 104,135,500,0,4850,3125,36,-2,160,5,1
185,5 104,135,500,0,4840,3115,36,-2,160,5,1
186,1 6 104,135,500,0,4870,3145,36,-2,160,5,1
187,7 104,135,500,0,4880,3155,36,-2,160,5,1
188,8 104,135,500,0,4890,3165,36,-2,160,5,1
189,9 104,135,500,0,4905,3180,36,-2,160,5,1
190,10 105 108,300,500,0,5300,3575,36,-2,160,6,1
191,11 104,120,500,0,4900,3175,36,-2,160,5,1
192,12 104,120,500,0,4915,3190,36,-2,160,5,1
193,13 104,120,500,0,4925,3200,36,-2,160,5,1
194,14 104,120,500,0,4940,3215,36,-2,160,5,1
195,15 104,120,500,0,4955,3230,36,-2,160,5,1
196,13 104,120,500,0,4965,3240,36,-2,160,5,1
197,14 104,120,500,0,4975,3250,36,-2,160,5,1
198,18 104,120,500,0,4990,3265,36,-2,160,5,1
199,18 104,120,500,0,5000,3275,36,-2,160,5,1
200,106 107,600,500,0,4800,3075,10,-2,200,6,1
201,1 104,120,500,0,5250,3350,36,-2,160,5,1
202,1 2 104,120,500,0,5265,3365,36,-2,160,5,1
203,1 2 3 104,120,500,0,5290,3390,36,-2,160,5,1
204,4 104,120,500,0,5300,3400,36,-2,160,5,1
205,5 104,120,500,0,5290,3390,36,-2,160,5,1
206,1 6 104,120,500,0,5320,3420,36,-2,160,5,1
207,7 104,120,500,0,5330,3430,36,-2,160,5,1
208,8 104,120,500,0,5340,3440,36,-2,160,5,1
209,9 104,120,500,0,5355,3455,36,-2,160,5,1
210,10 105 108,300,500,0,5750,3850,36,-2,160,6,1
211,11 104,120,500,0,5350,3450,36,-2,160,5,1
212,12 104,120,500,0,5365,3465,36,-2,160,5,1
213,13 104,120,500,0,5375,3475,36,-2,160,5,1
214,14 104,120,500,0,5390,3490,36,-2,160,5,1
215,15 104,120,500,0,5405,3505,36,-2,160,5,1
216,13 104,120,500,0,5415,3515,36,-2,160,5,1
217,14 104,120,500,0,5425,3525,36,-2,160,5,1
218,18 104,120,500,0,5440,3540,36,-2,160,5,1
219,18 104,120,500,0,5450,3550,36,-2,160,5,1
220,106 107,600,500,0,5250,3350,10,-2,200,6,1
221,1 104,120,500,0,5700,3625,36,-2,160,5,1
222,1 2 104,120,500,0,5715,3640,36,-2,160,5,1
223,1 2 3 104,120,500,0,5740,3665,36,-2,160,5,1
224,4 104,120,500,0,5750,3675,36,-2,160,5,1
225,5 104,120,500,0,5740,3665,36,-2,160,5,1
226,1 6 104,120,500,0,5770,3695,36,-2,160,5,1
227,7 104,120,500,0,5780,3705,36,-2,160,5,1
228,8 104,120,500,0,5790,3715,36,-2,160,5,1
229,9 104,120,500,0,5805,3730,36,-2,160,5,1
230,10 105 108,300,500,0,6200,4125,36,-2,160,6,1
231,11 104,120,500,0,5800,3725,36,-2,160,5,1
232,12 104,120,500,0,5815,3740,36,-2,160,5,1
233,13 104,120,500,0,5825,3750,36,-2,160,5,1
234,14 104,120,500,0,5840,3765,36,-2,160,5,1
235,15 104,120,500,0,5855,3780,36,-2,160,5,1
236,13 104,120,500,0,5865,3790,36,-2,160,5,1
237,14 104,120,500,0,5875,3800,36,-2,160,5,1
238,18 104,120,500,0,5890,3815,36,-2,160,5,1
239,18 104,120,500,0,5900,3825,36,-2,160,5,1
240,106 107,600,500,0,5700,3625,10,-2,200,6,1
241,1 104,120,500,0,6150,3900,36,-2,160,5,1
242,1 2 104,120,500,0,6165,3915,36,-2,160,5,1
243,1 2 3 104,120,500,0,6190,3940,36,-2,160,5,1
244,4 104,120,500,0,6200,3950,36,-2,160,5,1
245,5 104,120,500,0,6190,3940,36,-2,160,5,1
246,1 6 104,120,500,0,6220,3970,36,-2,160,5,1
247,7 104,120,500,0,6230,3980,36,-2,160,5,1
248,8 104,120,500,0,6240,3990,36,-2,160,5,1
249,9 104,120,500,0,6255,4005,36,-2,160,5,1
250,10 105 108,300,500,0,6650,4400,36,-2,160,6,1
251,11 104,120,500,0,6250,4000,36,-2,160,5,1
252,12 104,120,500,0,6265,4015,36,-2,160,5,1
253,13 104,120,500,0,6275,4025,36,-2,160,5,1
254,14 104,120,500,0,6290,4040,36,-2,160,5,1
255,15 104,120,500,0,6305,4055,36,-2,160,5,1
256,13 104,120,500,0,6315,4065,36,-2,160,5,1
257,14 104,120,500,0,6325,4075,36,-2,160,5,1
258,18 104,120,500,0,6340,4090,36,-2,160,5,1
259,18 104,120,500,0,6350,4100,36,-2,160,5,1
260,106 107,600,500,0,6150,3900,10,-2,200,6,1
261,1 104,120,500,0,6600,4175,36,-2,160,5,1
262,1 2 104,120,500,0,6615,4190,36,-2,160,5,1
263,1 2 3 104,120,500,0,6640,4215,36,-2,160,5,1
264,4 104,120,500,0,6650,4225,36,-2,160,5,1
265,5 104,120,500,0,6640,4215,36,-2,160,5,1
266,1 6 104,120,500,0,6670,4245,36,-2,160,5,1
267,7 104,120,500,0,6680,4255,36,-2,160,5,1
268,8 104,120,500,0,6690,4265,36,-2,160,5,1
269,9 104,120,500,0,6705,4280,36,-2,160,5,1
270,10 105 108,300,500,0,7100,4675,36,-2,160,6,1
271,11 104,120,500,0,6700,4275,36,-2,160,5,1
272,12 104,120,500,0,6715,4290,36,-2,160,5,1
273,13 104,120,500,0,6725,4300,36,-2,160,5,1
274,14 104,120,500,0,6740,4315,36,-2,160,5,1
275,15 104,120,500,0,6755,4330,36,-2,160,5,1
276,13 104,120,500,0,6765,4340,36,-2,160,5,1
277,14 104,120,500,0,6775,4350,36,-2,160,5,1
278,18 104,120,500,0,6790,4365,36,-2,160,5,1
279,18 104,120,500,0,6800,4375,36,-2,160,5,1
280,106 107,600,500,0,6600,4175,10,-2,200,6,1
281,1 104,120,500,0,7050,4450,36,-2,160,5,1
282,1 2 104,120,500,0,7065,4465,36,-2,160,5,1
283,1 2 3 104,120,500,0,7090,4490,36,-2,160,5,1
284,4 104,120,500,0,7100,4500,36,-2,160,5,1
285,5 104,120,500,0,7090,4490,36,-2,160,5,1
286,1 6 104,120,500,0,7120,4520,36,-2,160,5,1
287,7 104,120,500,0,7130,4530,36,-2,160,5,1
288,8 104,120,500,0,7140,4540,36,-2,160,5,1
289,9 104,120,500,0,7155,4555,36,-2,160,5,1
290,10 105 108,300,500,0,7550,4950,36,-2,160,6,1
291,11 104,120,500,0,7150,4550,36,-2,160,5,1
292,12 104,120,500,0,7165,4565,36,-2,160,5,1
293,13 104,120,500,0,7175,4575,36,-2,160,5,1
294,14 104,120,500,0,7190,4590,36,-2,160,5,1
295,15 104,120,500,0,7205,4605,36,-2,160,5,1
296,13 104,120,500,0,7215,4615,36,-2,160,5,1
297,14 104,120,500,0,7225,4625,36,-2,160,5,1
298,18 104,120,500,0,7240,4640,36,-2,160,5,1
299,18 104,120,500,0,7250,4650,36,-2,160,5,1
300,106 107,600,500,0,7050,4450,10,-2,200,6,1
301,1 104,120,500,0,7500,4725,36,-2,160,5,1
302,1 2 104,120,500,0,7515,4740,36,-2,160,5,1
303,1 2 3 104,120,500,0,7540,4765,36,-2,160,5,1
304,4 104,120,500,0,7550,4775,36,-2,160,5,1
305,5 104,120,500,0,7540,4765,36,-2,160,5,1
306,1 6 104,120,500,0,7570,4795,36,-2,160,5,1
307,7 104,120,500,0,7580,4805,36,-2,160,5,1
308,8 104,120,500,0,7590,4815,36,-2,160,5,1
309,9 104,120,500,0,7605,4830,36,-2,160,5,1
310,10 105 108,300,500,0,8000,5225,36,-2,160,6,1
311,11 104,120,500,0,7600,4825,36,-2,160,5,1
312,12 104,120,500,0,7615,4840,36,-2,160,5,1
313,13 104,120,500,0,7625,4850,36,-2,160,5,1
314,14 104,120,500,0,7640,4865,36,-2,160,5,1
315,15 104,120,500,0,7655,4880,36,-2,160,5,1
316,13 104,120,500,0,7665,4890,36,-2,160,5,1
317,14 104,120,500,0,7675,4900,36,-2,160,5,1
318,18 104,120,500,0,7690,4915,36,-2,160,5,1
319,18 104,120,500,0,7700,4925,36,-2,160,5,1
320,106 107,600,500,0,7500,4725,10,-2,200,6,1
321,1 104,120,500,0,7950,5000,36,-2,160,5,1
322,1 2 104,120,500,0,7965,5015,36,-2,160,5,1
323,1 2 3 104,120,500,0,7990,5040,36,-2,160,5,1
324,4 104,120,500,0,8000,5050,36,-2,160,5,1
325,5 104,120,500,0,7990,5040,36,-2,160,5,1
326,1 6 104,120,500,0,8020,5070,36,-2,160,5,1
327,7 104,120,500,0,8030,5080,36,-2,160,5,1
328,8 104,120,500,0,8040,5090,36,-2,160,5,1
329,9 104,120,500,0,8055,5105,36,-2,160,5,1
330,10 105 108,300,500,0,8450,5500,36,-2,160,6,1
331,11 104,120,500,0,8050,5100,36,-2,160,5,1
332,12 104,120,500,0,8065,5115,36,-2,160,5,1
333,13 104,120,500,0,8075,5125,36,-2,160,5,1
334,14 104,120,500,0,8090,5140,36,-2,160,5,1
335,15 104,120,500,0,8105,5155,36,-2,160,5,1
336,13 104,120,500,0,8115,5165,36,-2,160,5,1
337,14 104,120,500,0,8125,5175,36,-2,160,5,1
338,18 104,120,500,0,8140,5190,36,-2,160,5,1
339,18 104,120,500,0,8150,5200,36,-2,160,5,1
340,106 107,600,500,0,7950,5000,10,-2,200,6,1
341,1 104,120,500,0,8400,5275,36,-2,160,5,1
342,1 2 104,120,500,0,8412,5287,36,-2,160,5,1
343,1 2 3 104,120,500,0,8432,5307,36,-2,160,5,1
344,4 104,120,500,0,8440,5315,36,-2,160,5,1
345,5 104,120,500,0,8432,5307,36,-2,160,5,1
346,1 6 104,120,500,0,8456,5331,36,-2,160,5,1
347,7 104,120,500,0,8464,5339,36,-2,160,5,1
348,8 104,120,500,0,8472,5347,36,-2,160,5,1
349,9 104,120,500,0,8484,5359,36,-2,160,5,1
350,10 105 108,300,500,0,8800,5675,36,-2,160,6,1
351,11 104,120,500,0,8480,5355,36,-2,160,5,1
352,12 104,120,500,0,8492,5367,36,-2,160,5,1
353,13 104,120,500,0,8500,5375,36,-2,160,5,1
354,14 104,120,500,0,8512,5387,36,-2,160,5,1
355,15 104,120,500,0,8524,5399,36,-2,160,5,1
356,13 104,120,500,0,8532,5407,36,-2,160,5,1
357,14 104,120,500,0,8540,5415,36,-2,160,5,1
358,18 104,120,500,0,8552,5427,36,-2,160,5,1
359,18 104,120,500,0,8560,5435,36,-2,160,5,1
360,106 107,600,500,0,8400,5275,10,-2,200,6,1
361,1 104,120,500,0,8810,5510,36,-2,160,5,1
362,1 2 104,120,500,0,8819,5519,36,-2,160,5,1
363,1 2 3 104,120,500,0,8834,5534,36,-2,160,5,1
364,4 104,120,500,0,8840,5540,36,-2,160,5,1
365,5 104,120,500,0,8834,5534,36,-2,160,5,1
366,1 6 104,120,500,0,8852,5552,36,-2,160,5,1
367,7 104,120,500,0,8858,5558,36,-2,160,5,1
368,8 104,120,500,0,8864,5564,36,-2,160,5,1
369,9 104,120,500,0,8873,5573,36,-2,160,5,1
370,10 105 108,300,500,0,9110,5810,36,-2,160,6,1
371,11 104,120,500,0,8870,5570,36,-2,160,5,1
372,12 104,120,500,0,8879,5579,36,-2,160,5,1
373,13 104,120,500,0,8885,5585,36,-2,160,5,1
374,14 104,120,500,0,8894,5594,36,-2,160,5,1
375,15 104,120,500,0,8903,5603,36,-2,160,5,1
376,13 104,120,500,0,8909,5609,36,-2,160,5,1
377,14 104,120,500,0,8915,5615,36,-2,160,5,1
378,18 104,120,500,0,8924,5624,36,-2,160,5,1
379,18 104,120,500,0,8930,5630,36,-2,160,5,1
380,106 107,600,500,0,8810,5510,10,-2,200,6,1
381,1 104,120,500,0,9180,5705,36,-2,160,5,1
382,1 2 104,120,500,0,9186,5711,36,-2,160,5,1
383,1 2 3 104,120,500,0,9196,5721,36,-2,160,5,1
384,4 104,120,500,0,9200,5725,36,-2,160,5,1
385,5 104,120,500,0,9196,5721,36,-2,160,5,1
386,1 6 104,120,500,0,9208,5733,36,-2,160,5,1
387,7 104,120,500,0,9212,5737,36,-2,160,5,1
388,8 104,120,500,0,9216,5741,36,-2,160,5,1
389,9 104,120,500,0,9222,5747,36,-2,160,5,1
390,10 105 108,300,500,0,9380,5905,36,-2,160,6,1
391,11 104,120,500,0,9220,5745,36,-2,160,5,1
392,12 104,120,500,0,9226,5751,36,-2,160,5,1
393,13 104,120,500,0,9230,5755,36,-2,160,5,1
394,14 104,120,500,0,9236,5761,36,-2,160,5,1
395,15 104,120,500,0,9242,5767,36,-2,160,5,1
396,13 104,120,500,0,9246,5771,36,-2,160,5,1
397,14 104,120,500,0,9250,5775,36,-2,160,5,1
398,18 104,120,500,0,9256,5781,36,-2,160,5,1
399,18 104,120,500,0,9260,5785,36,-2,160,5,1
400,106 107,600,500,0,9180,5705,10,-2,200,6,1
401,1 104,120,500,0,9510,5860,36,-2,160,5,1
402,1 2 104,120,500,0,9513,5863,36,-2,160,5,1
403,1 2 3 104,120,500,0,9518,5868,36,-2,160,5,1
404,4 104,120,500,0,9520,5870,36,-2,160,5,1
405,5 104,120,500,0,9518,5868,36,-2,160,5,1
406,1 6 104,120,500,0,9524,5874,36,-2,160,5,1
407,7 104,120,500,0,9526,5876,36,-2,160,5,1
408,8 104,120,500,0,9528,5878,36,-2,160,5,1
409,9 104,120,500,0,9531,5881,36,-2,160,5,1
410,10 105 108,300,500,0,9610,5960,36,-2,160,6,1
411,11 104,120,500,0,9530,5880,36,-2,160,5,1
412,12 104,120,500,0,9533,5883,36,-2,160,5,1
413,13 104,120,500,0,9535,5885,36,-2,160,5,1
414,14 104,120,500,0,9538,5888,36,-2,160,5,1
415,15 104,120,500,0,9541,5891,36,-2,160,5,1
416,13 104,120,500,0,9543,5893,36,-2,160,5,1
417,14 104,120,500,0,9545,5895,36,-2,160,5,1
418,18 104,120,500,0,9548,5898,36,-2,160,5,1
419,18 104,120,500,0,9550,5900,36,-2,160,5,1
420,106 107,600,500,0,9510,5860,10,-2,200,6,1
421,1 104,120,500,0,9800,5975,36,-2,160,5,1
422,1 2 104,120,500,0,9803,5978,36,-2,160,5,1
423,1 2 3 104,120,500,0,9808,5983,36,-2,160,5,1
424,4 104,120,500,0,9810,5985,36,-2,160,5,1
425,5 104,120,500,0,9808,5983,36,-2,160,5,1
426,1 6 104,120,500,0,9814,5989,36,-2,160,5,1
427,7 104,120,500,0,9816,5991,36,-2,160,5,1
428,8 104,120,500,0,9818,5993,36,-2,160,5,1
429,9 104,120,500,0,9821,5996,36,-2,160,5,1
430,10 105 108,300,500,0,9900,6075,36,-2,160,6,1
431,11 104,120,500,0,9820,5995,36,-2,160,5,1
432,12 104,120,500,0,9823,5998,36,-2,160,5,1
433,13 104,120,500,0,9825,6000,36,-2,160,5,1
434,14 104,120,500,0,9828,6003,36,-2,160,5,1
435,15 104,120,500,0,9831,6006,36,-2,160,5,1
436,13 104,120,500,0,9833,6008,36,-2,160,5,1
437,14 104,120,500,0,9835,6010,36,-2,160,5,1
438,18 104,120,500,0,9838,6013,36,-2,160,5,1
439,18 104,120,500,0,9840,6015,36,-2,160,5,1
440,106 107,600,500,0,9800,5975,10,-2,200,6,1
441,1 104,120,500,0,10090,6090,36,-2,160,5,1
442,1 2 104,120,500,0,10093,6093,36,-2,160,5,1
443,1 2 3 104,120,500,0,10098,6098,36,-2,160,5,1
444,4 104,120,500,0,10100,6100,36,-2,160,5,1
445,5 104,120,500,0,10098,6098,36,-2,160,5,1
446,1 6 104,120,500,0,10104,6104,36,-2,160,5,1
447,7 104,120,500,0,10106,6106,36,-2,160,5,1
448,8 104,120,500,0,10108,6108,36,-2,160,5,1
449,9 104,120,500,0,10111,6111,36,-2,160,5,1
450,10 105 108,300,500,0,10190,6190,36,-2,160,6,1
451,11 104,120,500,0,10110,6110,36,-2,160,5,1
452,12 104,120,500,0,10113,6113,36,-2,160,5,1
453,13 104,120,500,0,10115,6115,36,-2,160,5,1
454,14 104,120,500,0,10118,6118,36,-2,160,5,1
455,15 104,120,500,0,10121,6121,36,-2,160,5,1
456,13 104,120,500,0,10123,6123,36,-2,160,5,1
457,14 104,120,500,0,10125,6125,36,-2,160,5,1
458,18 104,120,500,0,10128,6128,36,-2,160,5,1
459,18 104,120,500,0,10130,6130,36,-2,160,5,1
460,106 107,600,500,0,10090,6090,10,-2,200,6,1
461,1 104,120,500,0,10380,6205,36,-2,160,5,1
462,1 2 104,120,500,0,10383,6208,36,-2,160,5,1
463,1 2 3 104,120,500,0,10388,6213,36,-2,160,5,1
