waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath,,,,,,,
20,306,0,180,0,30,1,,7,,,,,,,
20,307,0,180,0,30,1,,7,,,,,,,
21,301,0,180,0,30,1,,7,,,,,,,
21,302,0,180,0,30,1,,7,,,,,,,
21,306,0,180,0,30,1,,7,,,,,,,
21,307,0,180,0,30,1,,7,,,,,,,
21,310,0,180,0,30,1,,7,,,,,,,
101,9999,0,0,0,9999,1,43,,,,,,,,
101,9999,1,1,0,9999,1,132,,,,,,,,
101,9999,4,4,0,9999,1,133,,,,,,,,
101,9999,7,7,0,9999,1,134,,,,,,,,
101,9999,12,12,0,9999,1,135,,,,,,,,
101,9999,20,20,0,9999,1,136,,,,,,,,
101,9999,23,23,0,9999,1,137,,,,,,,,
102,9999,0,0,0,9999,1,43,,,,,,,,
102,9999,20,20,0,9999,1,138,,,,,,,,
102,9999,23,23,0,9999,1,139,,,,,,,,
102,9999,26,26,0,9999,1,140,,,,,,,,
103,9999,0,0,0,9999,1,43,,,,,,,,
103,9999,1,1,0,9999,1,141,,,,,,,,
103,9999,4,4,0,9999,1,142,,,,,,,,
100,300,0,0,3,11 9,1 1,,17,,,,,,,
150,150,0,180,3,11,1,,13,,,,,,,
200,200,0,5,0,6,1,,14,,,,,,,
201,60,0,5,0,100,1,,15,,,,,,,
250,250,10,0,0,30000,1,,,,,,,,,
