id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
51,resident_zombi_origin,15,45,3,500,50,150,550,0,10,255 255 255,0,145,0,0,1,415
52,resident_zombi_host,20,45,3,360,80,220,650,0,10,255 255 255,0,145,0,0,1,485
53,resident_zombi_origin,33,45,3,600,100,110,800,0,10,255 255 255,0,145,0,0,1,590
54,resident_zombi_host,38,50,3,200,100,250,1050,0,10,255 255 255,0,145,0,0,1,765
55,resident_zombi_origin,43,50,2,220,100,170,1250,0,10,255 255 255,0,145,0,0,1,905
56,boomer_zombi_host,35,50,4,80,80,160,500,0,11,255 255 255,0,146,0,0,1,380
57,boomer_zombi_origin,40,60,4,95,80,160,600,0,11,255 255 255,0,146,0,0,1,450
58,boomer_zombi_host,45,60,4,105,80,160,750,0,11,255 255 255,0,146,0,0,1,555
59,boomer_zombi_origin,50,70,3,115,80,160,850,0,11,255 255 255,0,146,0,0,1,625
60,boomer_zombi_host,55,70,3,125,80,170,1000,0,11,255 255 255,0,146,0,0,1,730
61,zombiedog,75,60,1,300,150,375,1500,0,12,200 0 0,0,144,0,0,1,1250
62,zombiedog,100,75,2,325,250,375,2000,0,12,255 0 0,0,144,0,0,1,1500
63,zombieclimber,125,100,2,1000,250,200,1500,0,0,255 255 255,0,101,0,0,1,1750
64,zombieclimber,150,100,2,1250,300,225,2000,0,1,200 0 0,0,101,0,0,1,2000
32300,grasshopper,1,300,2,2500000,1000000,500,32000,2,1005,255 255 255,0,172,2,100,3,22400
