waveID,intervalTime,zombi,specialzombi,eventmessage
40,5,154,,
40,6,156,,
40,5,170,,
40,6,186,,
40,5,188,,
40,6,212,,
40,5,214,,
41,9999,509,5000,
41,9999,509,5001,
41,9999,509,5002,
41,9999,509,5003,
41,9999,527,5004,
41,5,61,,
41,4,63,,
41,5,93,,
41,4,95,,
41,5,125,,
41,4,127,,
41,5,157,,
41,4,159,,
41,5,173,,
41,4,195,,
41,5,197,,
41,4,219,,
41,5,221,,
41,4,233,,
41,15,515,,
42,4,62,,
42,3,64,,
42,4,94,,
42,3,96,,
42,4,126,,
42,3,128,,
42,4,158,,
42,3,160,,
42,4,174,,
42,3,196,,
42,5,220,,
42,6,234,,
42,12,511,,
42,20,527,,
43,9999,518,5000,
43,9999,518,5001,
43,9999,518,5002,
43,9999,518,5003,
43,9999,528,5004,
43,5,61,,
43,4,63,,
43,5,93,,
43,4,95,,
43,5,125,,
43,4,127,,
43,5,157,,
43,4,159,,
43,5,173,,
43,4,195,,
43,5,197,,
43,4,219,,
43,5,221,,
43,4,233,,
43,15,515,,
44,4,62,,
44,3,64,,
44,4,94,,
44,3,96,,
44,4,126,,
44,3,128,,
44,4,158,,
44,3,160,,
44,4,174,,
44,3,196,,
44,5,220,,
44,6,234,,
44,12,511,,
45,9999,515,5000,
45,9999,515,5001,
45,9999,515,5002,
45,9999,515,5003,
45,9999,528,5004,
45,5,61,,
45,4,63,,
45,5,93,,
45,4,95,,
45,5,125,,
45,4,127,,
45,5,157,,
45,4,159,,
45,5,173,,
45,4,195,,
45,5,197,,
45,4,219,,
45,5,221,,
45,4,233,,
45,15,515,,
46,4,62,,
46,3,64,,
46,4,94,,
46,3,96,,
46,4,126,,
46,3,128,,
46,4,158,,
46,3,160,,
46,4,174,,
46,3,196,,
46,5,220,,
46,6,234,,
46,12,511,,
47,9999,526,5000,
47,9999,526,5001,
47,9999,526,5002,
47,9999,526,5003,
47,9999,529,5004,
47,5,61,,
47,4,63,,
47,5,93,,
47,4,95,,
47,5,125,,
47,4,127,,
47,5,157,,
47,4,159,,
47,5,173,,
47,4,195,,
47,5,197,,
47,4,219,,
47,5,221,,
47,4,233,,
47,15,515,,
48,4,62,,
48,3,64,,
48,4,94,,
48,3,96,,
48,4,126,,
48,3,128,,
48,4,158,,
48,3,160,,
48,4,174,,
48,3,196,,
48,5,220,,
48,6,234,,
48,12,511,,
49,9999,526,5000,
49,9999,526,5001,
49,9999,526,5002,
49,9999,526,5003,
49,9999,518,5004,
49,5,61,,
49,4,63,,
49,5,93,,
49,4,95,,
49,5,125,,
49,4,127,,
49,5,157,,
49,4,159,,
49,5,173,,
49,4,195,,
49,5,197,,
49,4,219,,
49,5,221,,
49,4,233,,
49,15,515,,
50,4,62,,
50,3,64,,
50,4,94,,
50,3,96,,
50,4,126,,
50,3,128,,
50,4,158,,
50,3,160,,
50,4,174,,
50,3,196,,
50,5,220,,
50,6,234,,
50,12,511,,
50,20,526,,
51,9999,509,5000,
51,9999,509,5001,
51,9999,509,5002,
51,9999,509,5003,
51,9999,526,5004,
51,5,61,,
51,4,63,,
51,5,93,,
51,4,95,,
51,5,125,,
51,4,127,,
51,5,157,,
51,4,159,,
51,5,173,,
51,4,195,,
51,5,197,,
51,4,219,,
51,5,221,,
51,4,233,,
51,15,515,,
52,4,62,,
52,3,64,,
52,4,94,,
52,3,96,,
52,4,126,,
52,3,128,,
52,4,158,,
52,3,160,,
52,4,174,,
52,3,196,,
52,5,220,,
52,6,234,,
52,12,511,,
52,20,526,,
53,9999,509,5000,
53,9999,509,5001,
53,9999,509,5002,
53,9999,509,5003,
53,9999,526,5004,
53,5,61,,
53,4,63,,
53,5,93,,
53,4,95,,
53,5,125,,
53,4,127,,
53,5,157,,
53,4,159,,
53,5,173,,
53,4,195,,
53,5,197,,
53,4,219,,
53,5,221,,
53,4,233,,
53,15,515,,
54,9999,529,5004,
54,4,62,,
54,3,64,,
54,4,94,,
54,3,96,,
54,4,126,,
54,3,128,,
54,4,158,,
54,3,160,,
54,4,174,,
54,3,196,,
54,5,220,,
54,6,234,,
54,12,511,,
54,10,222,,
54,20,527,,
55,9999,518,5000,
55,9999,518,5001,
55,9999,518,5002,
55,9999,518,5003,
55,9999,529,5004,
55,5,61,,
55,4,63,,
55,5,93,,
55,4,95,,
55,5,125,,
55,4,127,,
55,5,157,,
55,4,159,,
55,5,173,,
55,4,195,,
55,5,197,,
55,4,219,,
55,5,221,,
55,4,233,,
55,15,515,,
56,4,62,,
56,3,64,,
56,4,94,,
56,3,96,,
56,4,126,,
56,3,128,,
56,4,158,,
56,3,160,,
56,4,174,,
56,3,196,,
56,5,220,,
56,6,234,,
56,12,511,,
56,20,528,,
57,9999,518,5000,
57,9999,518,5001,
57,9999,518,5002,
57,9999,518,5003,
57,9999,529,5004,
57,5,61,,
57,4,63,,
57,5,93,,
57,4,95,,
57,5,125,,
57,4,127,,
57,5,157,,
57,4,159,,
57,5,173,,
57,4,195,,
57,5,197,,
57,4,219,,
57,5,221,,
57,4,233,,
57,15,515,,
58,4,62,,
58,3,64,,
58,4,94,,
58,3,96,,
58,4,126,,
58,3,128,,
58,4,158,,
58,3,160,,
58,4,174,,
58,3,196,,
58,5,220,,
58,6,234,,
58,12,511,,
58,20,529,,
59,9999,518,5000,
59,9999,518,5001,
59,9999,518,5002,
59,9999,518,5003,
59,9999,529,5004,
59,5,61,,
59,4,63,,
59,5,93,,
59,4,95,,
59,5,125,,
59,4,127,,
59,5,157,,
59,4,159,,
59,5,173,,
59,4,195,,
59,5,197,,
59,4,219,,
59,5,221,,
59,4,233,,
59,15,515,,
60,4,62,,
60,3,64,,
60,4,94,,
60,3,96,,
60,4,126,,
60,3,128,,
60,4,158,,
60,3,160,,
60,4,174,,
60,3,196,,
60,5,220,,
60,6,234,,
60,12,511,,
60,20,530,,
61,9999,518,5000,
61,9999,518,5001,
61,9999,518,5002,
61,9999,518,5003,
61,9999,30200,5004,
61,5,61,,
61,4,63,,
61,5,93,,
61,4,95,,
61,5,125,,
61,4,127,,
61,5,157,,
61,4,159,,
61,5,173,,
61,4,195,,
61,5,197,,
61,4,219,,
61,5,221,,
61,4,233,,
61,15,515,,
62,4,62,,
62,3,64,,
62,4,94,,
62,3,96,,
62,4,126,,
62,3,128,,
62,4,158,,
62,3,160,,
62,4,174,,
62,3,196,,
62,5,220,,
62,6,234,,
62,12,515,,
62,15,531,,
62,9999,30200,5004,
1000,4,300,,
1001,4,301,,
1001,4,311,,
1002,4,302,,
1002,4,312,,
1002,4,313,,
1002,5,321,,
1003,4,303,,
1003,4,322,,
1003,4,331,,
1003,5,341,,
1004,4,304,,
1004,4,313,,
1004,4,322,,
1004,5,341,,
1004,5,351,,
1005,4,305,,
1005,4,314,,
1005,4,323,,
1005,5,332,,
1005,5,351,,
1006,4,306,,
1006,4,324,,
1006,4,315,,
1006,5,333,,
1006,4,342,,
1006,5,352,,
1006,4,361,,
