 ,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
25,heavy_zombi_host,30,60,3,3200,1600,180,1500,0,0,255 255 255,0,121,0,0,1,765
26,heavy_zombi_origin,35,70,3,3500,1900,180,1800,0,3,255 255 255,0,121,0,0,1,870
27,heavy_zombi_origin,40,70,3,3800,2400,200,2000,0,3,255 255 255,0,121,0,0,1,1080
28,heavy_zombi_origin,42,70,3,4000,2600,200,2500,0,3,255 255 255,0,121,0,0,1,1185
31,pc_zombi_host,8,60,3,300,160,160,300,0,0,255 255 255,0,130,0,0,1,240
32,pc_zombi_origin,12,65,3,330,180,160,350,0,0,255 255 255,0,130,0,0,1,275
33,pc_zombi_host,20,70,3,450,200,240,375,0,0,255 255 255,0,130,0,0,1,293
34,pc_zombi_origin,30,75,3,470,220,220,450,0,0,255 255 255,0,130,0,0,1,345
35,pc_zombi_host,35,75,2,640,240,240,650,0,0,255 255 255,0,130,0,0,1,485
36,pc_zombi_origin,40,80,2,650,260,240,900,0,0,255 255 255,0,130,0,0,1,660
37,pc_zombi_origin,40,80,2,750,280,240,1000,0,0,255 255 255,0,130,0,0,1,730
38,pc_zombi_origin,40,80,2,790,300,240,1200,0,0,255 255 255,0,130,0,0,1,870
41,heal_zombi_origin,10,60,3,400,160,160,475,0,0,255 255 255,0,141,0,0,1,363
42,heal_zombi_host,15,70,3,500,200,160,550,0,0,255 255 255,0,141,0,0,1,415
43,heal_zombi_origin,20,70,3,600,200,240,625,0,0,255 255 255,0,141,0,0,1,468
44,heal_zombi_host,25,70,3,700,200,220,700,0,5,255 255 255,0,141,0,0,1,520
45,heal_zombi_origin,30,80,3,800,300,240,800,0,0,255 255 255,0,141,0,0,1,590
46,heal_zombi_host,30,80,3,900,400,240,1000,0,5,255 255 255,0,141,0,0,1,730
47,heal_zombi_host,35,80,3,1000,400,240,1200,0,5,255 255 255,0,141,0,0,1,870
48,heal_zombi_host,35,80,3,1100,400,240,1400,0,5,255 255 255,0,141,0,0,1,1010
51,resident_zombi_origin,15,45,3,600,110,250,550,0,10,255 255 255,0,145,0,0,1,415
52,resident_zombi_host,20,45,3,900,110,250,650,0,10,255 255 255,0,145,0,0,1,485
53,resident_zombi_origin,33,45,3,1100,130,400,800,0,10,255 255 255,0,145,0,0,1,590
54,resident_zombi_host,38,50,3,1200,130,400,1050,0,10,255 255 255,0,145,0,0,1,765
55,resident_zombi_origin,43,50,2,1250,140,400,1250,0,10,255 255 255,0,145,0,0,1,905
61,boomer_zombi_host,35,50,4,2000,200,180,500,0,11,255 255 255,0,146,0,0,1,380
62,boomer_zombi_origin,40,60,4,2500,300,180,600,0,11,255 255 255,0,146,0,0,1,450
63,boomer_zombi_host,45,60,4,3000,300,180,750,0,11,255 255 255,0,146,0,0,1,555
64,boomer_zombi_origin,50,70,3,4000,400,180,850,0,11,255 255 255,0,146,0,0,1,625
65,boomer_zombi_host,55,70,3,4500,400,180,1000,0,11,255 255 255,0,146,0,0,1,730
100,zombi_origin,10,80,2,500,100,300,450,0,1,255 255 255,0,101,0,0,1,345
111,speed_zombi_origin,15,90,1,360,160,440,500,0,0,255 255 255,0,111,0,0,1,380
121,heavy_zombi_origin,10,70,3,1200,200,220,800,0,0,255 255 255,0,121,0,0,1,590
131,pc_zombi_origin,10,75,2,400,200,500,450,0,0,255 255 255,0,130,0,0,1,345
141,heal_zombi_host,10,70,3,440,200,340,550,0,0,255 255 255,0,141,0,0,1,415
201,zombi_host,5,1500,3,400,40,-25,200,0,6,80 228 91,0,102,0,0,1,170
300,zombiedog,45,75,2,160,160,640,350,0,12,255 255 255,0,101,0,0,1,275
301,zombiedog,15,55,2,190,160,640,375,0,12,255 255 255,0,144,0,0,1,293
302,zombiedog,20,55,2,210,160,640,400,0,12,255 255 255,0,144,0,0,1,310
303,zombiedog,25,55,2,230,160,640,425,0,12,255 255 255,0,144,0,0,1,328
304,zombiedog,30,55,2,250,160,640,550,0,12,255 255 255,0,144,0,0,1,415
305,zombiedog,75,60,1,600,300,660,1500,0,12,200 0 0,0,144,0,0,1,1250
306,zombiedog,100,75,2,650,500,660,2000,0,12,255 0 0,0,144,0,0,1,1500
400,zombieclimber,125,100,2,2000,500,360,1500,0,0,255 255 255,0,147,0,0,1,1750
401,zombieclimber,150,100,2,2500,600,400,2000,0,1,255 255 255,0,147,0,0,1,2000
600,elite_forceT,6,20,1,250,100,250,300,0,1,255 255 255,0,101,0,0,1,205
601,elite_forceT,6,15,1,250,100,250,300,0,1,255 255 255,0,101,0,0,1,240
602,elite_forceT,7,10,1,250,100,250,300,0,1,255 255 255,0,101,0,0,1,275
603,elite_forceT,7,9,0.75,250,100,250,300,0,1,255 255 255,0,101,0,0,1,275
604,elite_forceT,8,8,0.75,250,100,250,300,0,1,255 255 255,0,101,0,0,1,345
605,elite_forceT,8,7,0.5,250,100,250,300,0,1,255 255 255,0,101,0,0,1,380
606,elite_forceT,9,6,0.5,250,100,250,300,0,1,255 255 255,0,101,0,0,1,415
607,elite_forceT,9,5,0.4,250,100,250,300,0,1,255 255 255,0,101,0,0,1,485
608,elite_forceT,10,4,0.4,250,100,250,300,0,1,255 255 255,0,101,0,0,1,590
609,elite_forceT,10,3,0.3,250,100,250,300,0,1,255 255 255,0,101,0,0,1,730
610,elite_forceT,12,2,0.3,250,100,250,300,0,1,255 255 255,0,101,0,0,1,870
611,elite_forceT,12,1,0.2,250,100,250,300,0,1,255 255 255,0,101,0,0,1,1250
31400,mx2000,1,300,2,2500000,2000000,150,32000,2,1000,255 255 255,0,172,2,0,3,22400
31401,mr-x_zb,1,300,2,3000000,3000000,1200,32000,2,1001,255 255 255,0,172,2,100,3,22400
