ds,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
던지기,1002,112,5,10,3.34,zbs_skill_throw,0.93,200,90,5,8,1,16,1000,60,100,1000,-1,500,0,1000
점프,1002,113,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,60,100,1000,-1,2000,0,15
던지기,1002,112,5,10,3.34,zbs_skill_throw,0.93,250,90,5,8,1,16,1000,0,60,1000,-1,500,0,1000
점프,1002,113,0,0,3.34,zbs_jump_start,0.5,550,0,5,5,0,0,1000,0,60,1000,-1,2000,0,15
궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,60,1000,-1,500,0,900
궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,60,1000,-1,2000,0,15
궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,60,1000,733,1000,0,500
궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,45,1000,-1,500,0,900
궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,45,1000,-1,2000,0,15
궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,45,1000,734,1000,0,600
궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,30,1000,-1,500,0,900
궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,30,1000,-1,2000,0,15
궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,30,1000,-1,1000,0,800
궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,15,1000,-1,500,0,900
궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,15,1000,-1,2000,0,15
궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,15,1000,-1,1000,0,9999
중간등장,1003,95,255,999999,3.34,zbs_appear_start,0,10000,0,5,6,0,0,1000,0,100,1000,-1,0,0,15
중간퇴장,1003,118,0,3000,30,zbs_walk,0.5,500,0,5,5,0,0,1000,0,100,1000,-1,2000,0,500
휘두르기1-1,1003,97,5,5,4,zbs_attack1,0.93,200,25,5,8,2,0,1000,0,100,5,-1,0,500,300
휘두르기1-2,1003,98,0,0,4,zbs_attack1,0.93,200,90,5,8,0,0,1000,0,100,1000,-1,0,500,500
휘두르기2-1,1003,99,5,5,4,zbs_attack2,0.93,200,25,5,8,2,0,1000,0,100,5,-1,0,500,500
휘두르기2-2,1003,100,0,0,4,zbs_attack2,0.93,200,25,5,8,0,0,1000,0,100,1000,-1,0,500,500
