waveID,intervalTime,zombi,specialzombi,ect
23,9999,603,5003,
23,9999,501,5004,
23,6,12,,
23,7,26,,
23,6,36,,
23,7,46,,
23,6,67,,
23,7,12,,
23,6,26,,
23,7,36,,
23,6,46,,
23,30,106,,
24,6,212,,
24,7,226,,
24,6,236,,
24,7,246,,
24,6,263,,
24,7,280,,
24,6,212,,
24,7,226,,
24,6,236,,
24,7,246,,
24,30,107,,
25,9999,604,5000,
25,9999,604,5001,
25,9999,604,5002,
25,9999,604,5003,
25,9999,501,5004,
25,9999,30701,10010,
25,6,13,,
25,7,26,,
25,6,36,,
25,7,78,,
25,6,13,,
25,7,26,,
25,6,36,,
25,7,78,,
25,6,13,,
25,7,26,,
26,6,213,,
26,7,226,,
26,6,236,,
26,7,257,,
26,6,213,,
26,7,226,,
26,6,236,,
26,7,257,,
26,6,213,,
26,7,226,,
26,30,292,,
27,9999,604,5000,
27,9999,604,5001,
27,9999,604,5002,
27,9999,604,5003,
27,9999,501,5004,
27,6,14,,
27,7,27,,
27,6,36,,
27,7,14,,
27,6,27,,
27,7,36,,
27,6,14,,
27,7,27,,
27,6,36,,
27,7,14,,
28,6,214,,
28,7,227,,
28,6,236,,
28,7,281,,
28,10,107,,
28,6,214,,
28,7,227,,
28,6,236,,
28,7,281,,
28,10,107,,
28,6,227,,
29,9999,604,5000,
29,9999,604,5001,
29,9999,604,5002,
29,9999,604,5003,
29,9999,501,5004,
29,9999,1000,20000,
29,6,15,,
29,7,27,,
29,6,37,,
29,7,46,,
29,6,57,,
29,7,68,,
29,30,173,,
29,15,157,,
29,6,57,,
29,7,68,,
29,6,604,,
30,6,215,,
30,7,227,,
30,6,237,,
30,7,247,,
30,6,264,,
30,7,292,,
30,6,157,,
30,7,247,,
30,6,264,,
30,7,292,,
30,6,157,,
30,20,604,,
30,70,501,,
31,9999,9999,1678,
31,9999,605,5000,
31,9999,605,5001,
31,9999,605,5002,
31,9999,605,5003,
31,9999,501,5004,
31,5,15,,
31,6,27,,
31,5,37,,
31,6,79,,
31,10,107,,
31,5,15,,
31,6,27,,
31,5,37,,
31,6,79,,
31,10,107,,
32,5,215,,
32,6,227,,
32,5,237,,
32,6,257,,
32,5,282,,
32,6,108,,
32,70,501,,
32,6,215,,
32,5,227,,
32,6,237,,
32,5,257,,
33,9999,605,5000,
33,9999,605,5001,
33,9999,605,5002,
33,9999,605,5003,
33,9999,30200,5004,
33,9999,30701,10010,
33,5,15,,
33,6,27,,
33,5,37,,
33,6,15,,
33,5,27,,
33,6,37,,
33,5,15,,
33,6,27,,
33,5,37,,
33,90,501,,
34,5,215,,
34,6,227,,
34,5,237,,
34,6,293,,
34,5,215,,
34,6,227,,
34,5,237,,
34,6,293,,
34,5,215,,
34,6,227,,
34,70,501,,
35,9999,605,5000,
35,9999,605,5001,
35,9999,605,5002,
35,9999,605,5003,
35,9999,501,5004,
35,5,16,,
35,6,28,,
35,5,38,,
35,6,47,,
35,5,68,,
35,6,16,,
35,5,28,,
35,6,38,,
35,25,174,,
35,90,182,,
36,5,216,,
36,6,228,,
36,5,238,,
36,6,248,,
36,5,265,,
36,6,283,,
36,5,108,,
36,6,238,,
36,5,248,,
36,6,265,,
36,15,293,,
37,9999,606,5000,
37,9999,606,5001,
37,9999,606,5002,
37,9999,606,5003,
37,9999,501,5004,
37,9999,1001,20000,
37,5,16,,
37,6,28,,
37,5,38,,
37,6,80,,
37,5,158,,
37,6,16,,
37,5,28,,
37,6,38,,
37,5,80,,
37,6,158,,
38,5,216,,
38,6,228,,
38,5,238,,
38,6,258,,
38,5,293,,
38,6,158,,
38,5,228,,
38,6,238,,
38,5,258,,
38,6,293,,
38,12,606,,
39,9999,9999,860,
39,9999,606,5000,
39,9999,606,5001,
39,9999,606,5002,
39,9999,606,5003,
39,9999,30200,5005,
39,9999,9999,960,
39,9999,30702,10000,
39,5,16,,
39,6,28,,
39,5,38,,
39,6,58,,
39,12,174,,
39,12,108,,
39,5,16,,
39,6,28,,
39,5,38,,
39,6,58,,
39,12,174,,
39,12,108,,
39,5,16,,
39,6,28,,
39,5,38,,
40,5,216,,
40,6,228,,
40,5,238,,
40,6,284,,
40,5,216,,
40,6,228,,
40,5,238,,
40,6,284,,
40,5,216,,
40,6,228,,
40,5,238,,
40,6,284,,
40,12,108,,
40,12,293,,
40,12,293,,
40,9999,701,,
41,9999,606,5000,
41,9999,606,5001,
41,9999,606,5002,
41,9999,606,5003,
41,9999,30200,5004,
41,4,17,,
41,3,28,,
41,4,39,,
41,3,47,,
41,4,68,,
41,3,17,,
41,4,28,,
41,3,39,,
41,4,47,,
41,3,68,,
41,4,17,,
41,3,28,,
41,4,39,,
41,3,47,,
41,4,68,,
42,3,217,,
42,4,228,,
42,3,238,,
42,4,249,,
42,3,266,,
42,10,294,,
42,3,217,,
42,4,228,,
42,3,238,,
42,4,249,,
42,3,266,,
42,10,294,,
42,3,217,,
42,4,228,,
42,3,238,,
43,9999,606,5000,
43,9999,606,5001,
43,9999,606,5002,
43,9999,606,5003,
43,9999,30200,5005,
43,9999,9999,856,
43,9999,1001,20000,
43,4,17,,
43,3,29,,
43,4,39,,
43,3,81,,
43,4,17,,
43,3,29,,
43,4,39,,
43,3,81,,
43,4,17,,
43,3,29,,
43,4,39,,
43,3,81,,
43,4,17,,
43,3,29,,
43,4,39,,
44,3,217,,
44,4,229,,
44,3,239,,
44,4,259,,
44,3,285,,
44,12,109,,
44,3,217,,
44,4,229,,
44,3,239,,
44,4,259,,
44,3,285,,
44,12,109,,
44,3,259,,
44,4,285,,
44,3,109,,
45,9999,607,5000,
45,9999,607,5001,
45,9999,607,5002,
45,9999,607,5003,
45,9999,30200,5005,
45,9999,9999,856,
45,9999,30702,10000,
45,4,17,,
45,3,29,,
45,4,39,,
45,3,159,,
45,4,17,,
45,3,29,,
45,4,39,,
45,3,159,,
45,4,17,,
45,3,29,,
45,4,39,,
45,3,159,,
45,4,17,,
45,3,29,,
45,4,39,,
46,3,217,,
46,4,229,,
46,3,239,,
46,15,294,,
46,3,159,,
46,4,217,,
46,3,229,,
46,4,239,,
46,15,294,,
46,4,159,,
46,3,217,,
46,4,229,,
46,3,239,,
46,15,294,,
46,3,159,,
47,9999,607,5000,
47,9999,607,5001,
47,9999,607,5002,
47,9999,607,5003,
47,9999,30200,5005,
47,9999,9999,856,
47,4,18,,
47,3,29,,
47,4,40,,
47,3,48,,
47,4,69,,
47,10,109,,
47,4,18,,
47,3,29,,
47,4,40,,
47,3,48,,
47,4,69,,
47,10,109,,
47,4,48,,
47,3,69,,
47,4,109,,
48,3,218,,
48,4,229,,
48,3,240,,
48,4,250,,
48,3,267,,
48,50,183,,
48,9,109,,
48,4,218,,
48,3,229,,
48,4,240,,
48,3,250,,
48,4,267,,
48,50,183,,
48,9,109,,
48,3,267,,
49,9999,607,5000,
49,9999,607,5001,
49,9999,607,5002,
49,9999,607,5003,
49,9999,502,5004,
49,4,18,,
49,3,29,,
49,4,40,,
49,3,59,,
49,4,82,,
49,15,175,,
49,3,18,,
49,4,29,,
49,3,40,,
49,4,59,,
49,3,82,,
49,15,175,,
49,4,40,,
49,3,59,,
49,4,82,,
50,3,218,,
50,4,229,,
50,3,240,,
50,4,259,,
50,9,295,,
50,4,218,,
50,3,229,,
50,4,240,,
50,3,259,,
50,9,295,,
50,3,218,,
50,4,229,,
50,3,240,,
50,4,259,,
50,9,295,,
50,9999,702,,
51,9999,608,5000,
51,9999,608,5001,
51,9999,608,5002,
51,9999,608,5003,
51,9999,502,5004,
51,3,18,,
51,4,30,,
51,3,40,,
51,3,18,,
51,4,30,,
51,3,40,,
51,3,18,,
51,4,30,,
51,3,40,,
51,3,18,,
51,4,30,,
51,3,40,,
51,3,18,,
51,4,30,,
51,3,40,,
52,4,218,,
52,3,230,,
52,4,240,,
52,3,287,,
52,9,110,,
52,4,218,,
52,3,230,,
52,4,240,,
52,3,287,,
52,9,110,,
52,4,218,,
52,3,230,,
52,4,240,,
52,3,287,,
52,9,110,,
53,9999,608,5000,
53,9999,608,5001,
53,9999,608,5002,
53,9999,608,5003,
53,9999,502,5004,
53,9999,30703,10000,
53,3,19,,
53,4,30,,
53,3,41,,
53,4,48,,
53,3,69,,
53,40,183,,
53,3,160,,
53,4,19,,
53,3,30,,
53,4,41,,
53,3,48,,
53,4,69,,
53,40,183,,
53,3,160,,
53,40,183,,
54,9999,9999,856,
54,3,219,,
54,4,230,,
54,3,241,,
54,4,251,,
54,3,268,,
54,9,295,,
54,3,160,,
54,4,219,,
54,3,230,,
54,4,241,,
54,3,251,,
54,4,268,,
54,9,295,,
54,3,160,,
54,9,295,,
55,9999,609,5000,
55,9999,609,5001,
55,9999,609,5002,
55,9999,609,5003,
55,9999,30200,5005,
55,9999,9999,856,
55,3,19,,
55,4,30,,
55,3,41,,
55,4,83,,
55,9,110,,
55,4,19,,
55,3,30,,
55,4,41,,
55,3,83,,
55,9,110,,
55,3,19,,
55,4,30,,
55,3,41,,
55,4,83,,
55,9,110,,
56,3,219,,
56,4,230,,
56,3,241,,
56,4,260,,
56,3,288,,
56,4,110,,
56,3,219,,
56,4,230,,
56,3,241,,
56,4,260,,
56,3,288,,
56,4,110,,
56,3,241,,
56,4,260,,
56,9,295,,
57,9999,609,5000,
57,9999,609,5001,
57,9999,609,5002,
57,9999,609,5003,
57,9999,30200,5005,
57,9999,9999,856,
57,9999,30703,10000,
57,3,19,,
57,4,30,,
57,3,41,,
57,4,19,,
57,3,30,,
57,4,41,,
57,3,19,,
57,4,30,,
57,3,41,,
57,4,19,,
57,3,30,,
57,4,41,,
57,7,176,,
57,7,176,,
57,7,176,,
58,3,219,,
58,4,230,,
58,3,241,,
58,9,296,,
58,3,219,,
58,4,230,,
58,3,241,,
58,9,296,,
58,3,219,,
58,4,230,,
58,3,241,,
58,9,296,,
58,3,252,,
58,4,289,,
58,9,296,,
59,9999,610,5000,
59,9999,610,5001,
59,9999,610,5002,
59,9999,610,5003,
59,9999,30200,5005,
59,9999,9999,959,
59,9999,30703,10000,
59,3,41,,
59,4,84,,
59,3,176,,
59,4,183,,
59,7,500,,
59,3,41,,
59,4,84,,
59,3,176,,
59,4,183,,
59,7,500,,
59,3,41,,
59,4,84,,
59,3,176,,
59,4,183,,
59,7,500,,
60,3,242,,
60,4,260,,
60,3,289,,
60,4,297,,
60,3,114,,
60,3,242,,
60,4,260,,
60,3,289,,
60,4,297,,
60,3,114,,
60,3,242,,
60,4,260,,
60,3,289,,
60,4,297,,
60,3,114,,
60,9999,703,,
61,9999,610,5000,
61,9999,610,5001,
61,9999,610,5002,
61,9999,610,5003,
61,9999,30200,5005,
61,9999,9999,856,
61,3,41,,
61,4,84,,
61,3,176,,
61,4,183,,
61,7,500,,
61,3,41,,
61,4,84,,
61,3,176,,
61,4,183,,
61,7,500,,
61,3,41,,
61,4,84,,
61,3,176,,
61,4,183,,
61,7,500,,
62,3,242,,
62,4,260,,
62,3,289,,
62,4,297,,
62,3,114,,
62,3,242,,
62,4,260,,
62,3,289,,
62,4,297,,
62,3,114,,
62,3,242,,
62,4,260,,
62,3,289,,
62,4,297,,
62,3,114,,
62,9999,30200,5005,
62,9999,9999,856,
1000,4,300,,
1001,4,301,,
1001,4,311,,
1002,4,302,,
1002,4,312,,
1002,4,313,,
1002,5,321,,
1003,4,303,,
1003,4,322,,
1003,4,331,,
1003,5,341,,
1004,4,304,,
1004,4,313,,
1004,4,322,,
1004,5,341,,
1004,5,351,,
1005,4,305,,
1005,4,314,,
1005,4,323,,
1005,5,332,,
1005,5,351,,
1006,4,306,,
1006,4,324,,
1006,4,315,,
1006,5,333,,
1006,4,342,,
1006,5,352,,
1006,4,361,,
5000,9999,9999,1677,
5000,3,450,,
5000,4,455,,
5000,3,460,,
5000,3,465,,
5000,4,470,,
5000,3,450,,
5000,4,455,,
5000,3,460,,
5000,3,465,,
5000,4,470,,
5000,3,450,,
5000,4,455,,
5000,3,460,,
5000,3,465,,
5000,4,470,,
5000,20,475,,
5000,25,485,,
5000,30,490,,
5001,9999,9999,1677,
5001,3,450,,
5001,4,455,,
5001,3,460,,
5001,3,465,,
5001,4,470,,
5001,3,450,,
5001,4,455,,
5001,3,460,,
5001,3,465,,
5001,4,470,,
5001,3,450,,
5001,4,455,,
5001,3,460,,
5001,3,465,,
5001,4,470,,
5001,20,475,,
5001,25,485,,
5001,30,490,,
5002,9999,9999,1677,
5002,3,450,,
5002,4,455,,
5002,3,460,,
5002,3,465,,
5002,4,470,,
5002,3,450,,
5002,4,455,,
5002,3,460,,
5002,3,465,,
5002,4,470,,
5002,3,450,,
5002,4,455,,
5002,3,460,,
5002,3,465,,
5002,4,470,,
5002,20,475,,
5002,25,485,,
5002,30,490,,
5003,9999,9999,1677,
5003,3,451,,
5003,4,456,,
5003,3,461,,
5003,3,466,,
5003,4,471,,
5003,3,451,,
5003,4,456,,
5003,3,461,,
5003,3,466,,
5003,4,471,,
5003,3,451,,
5003,4,456,,
5003,3,461,,
5003,3,466,,
5003,4,471,,
5003,20,475,,
5003,25,485,,
5003,45,490,,
5004,9999,9999,1677,
5004,3,452,,
5004,4,457,,
5004,3,462,,
5004,3,467,,
5004,4,472,,
5004,4,480,,
5004,3,452,,
5004,4,457,,
5004,3,462,,
5004,3,467,,
5004,4,472,,
5004,4,480,,
5004,3,452,,
5004,4,457,,
5004,3,462,,
5004,3,467,,
5004,4,472,,
5004,4,480,,
5004,15,476,,
5004,25,486,,
5004,30,490,,
5005,9999,9999,1677,
5005,2,453,,
5005,3,458,,
5005,2,463,,
5005,3,468,,
5005,2,473,,
5005,3,481,,
5005,2,453,,
5005,3,458,,
5005,2,463,,
5005,3,468,,
5005,2,473,,
5005,3,481,,
5005,2,453,,
5005,3,458,,
5005,2,463,,
5005,3,468,,
5005,3,473,,
5005,3,481,,
5005,10,477,,
5005,15,487,,
5005,20,491,,
5006,9999,9999,1677,
5006,1,454,,
5006,2,459,,
5006,1,464,,
5006,2,469,,
5006,1,474,,
5006,2,482,,
5006,1,454,,
5006,2,459,,
5006,1,464,,
5006,2,469,,
5006,1,474,,
5006,2,482,,
5006,1,454,,
5006,2,459,,
5006,1,464,,
5006,2,469,,
5006,2,474,,
5006,2,482,,
5006,10,478,,
5006,15,488,,
5006,15,492,,
